feature,missing_pct,non_missing_pct,count,mean,std,min,p25,p50,p75,max
home_rolling_xg,0.08247027234369006,0.9175297276563099,7176,1.3462808925618102,0.4718683984608582,0.01,1.04,1.3023907423271162,1.6175843592706733,4.35
home_rolling_xg_against,0.08247027234369006,0.9175297276563099,7176,1.3777329905690738,0.479536629991005,0.09,1.0780369851332292,1.3385542390812937,1.6216023347440744,6.25
away_rolling_xg,0.08131952435749903,0.918680475642501,7185,1.3859018610573925,0.4884699430068979,0.028181818181818183,1.0562741616009832,1.3414238688384879,1.658817259729448,4.14
away_rolling_xg_against,0.08131952435749903,0.918680475642501,7185,1.3368652028513306,0.4648347892748365,0.01,1.035811761491701,1.3074994027931548,1.592835623498146,5.489999999999999
xg_diff,0.0,1.0,7821,0.007100780275762501,0.6385597411664564,-4.268264462809917,-0.3584394724132153,0.0,0.35921451194737264,3.8599999999999994
home_rolling_corners,0.08068021992072626,0.9193197800792737,7190,4.77364032278889,1.5684439633098293,0.0,3.815344665230743,4.66487980542737,5.646564566007582,20.0
rest_delta,0.0,1.0,7821,-0.013990004995371655,2.31199424129524,-17.510667040254326,-0.27819008454433813,0.0,0.2788103222176197,17.135460389876496
congestion_flag,0.0,1.0,7821,0.1640455184758982,0.3703405496782489,0.0,0.0,0.0,0.0,1.0
home_upcoming_tier,0.0,1.0,7821,0.027745812555939137,0.286298173818639,0.0,0.0,0.0,0.0,3.0
away_upcoming_tier,0.0,1.0,7821,0.02621148190768444,0.27829096766974537,0.0,0.0,0.0,0.0,3.0
position_gap,0.0,1.0,7821,-0.33934279503899756,8.643133550578835,-35.0,-6.0,1.0,5.0,35.0
points_gap,0.0,1.0,7821,-0.1830967906917274,8.969469424896868,-48.0,-4.0,0.0,4.0,44.0
home_lame_duck,0.0,1.0,7821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_lame_duck,0.0,1.0,7821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_derby,0.0,1.0,7821,0.004730852832118655,0.06862269282078567,0.0,0.0,0.0,0.0,1.0
home_form_streak,0.0,1.0,7821,3.5834292289988494,2.5438560563255392,0.0,1.0,4.0,6.0,9.0
away_form_streak,0.0,1.0,7821,3.76409666283084,2.5617628586791144,0.0,2.0,4.0,6.0,9.0
home_xg_lost,0.0,1.0,7821,0.09129661432488438,0.26080268464928613,0.0,0.0,0.0,0.0,3.2105428571428574
away_xg_lost,0.0,1.0,7821,0.09562402957645574,0.2678744065510148,0.0,0.0,0.0,0.0,3.2105428571428574
home_key_absent,0.0,1.0,7821,0.18053957294463624,0.38466083027532716,0.0,0.0,0.0,0.0,1.0
away_key_absent,0.0,1.0,7821,0.17811021608489963,0.382629960369139,0.0,0.0,0.0,0.0,1.0
injury_impact,0.0,1.0,7821,-0.004327415251571371,0.26888935663839175,-3.2105428571428574,0.0,0.0,0.0,3.2105428571428574
home_xg_over_scored,0.0,1.0,7821,-0.12153924371790586,3.1358015420092826,-18.75,-1.9394031664928884,-0.16632334449016994,1.5150278040879606,15.0
home_xg_over_conceded,0.0,1.0,7821,-0.1662267870628266,3.384271687628295,-21.25,-2.021192483506197,-0.14512325451752162,1.527802062700637,18.0
away_xg_over_scored,0.0,1.0,7821,-0.17165635577123506,3.25036954092002,-18.7,-2.0146882043576237,-0.17702107105394482,1.5769726785894171,16.0
away_xg_over_conceded,0.0,1.0,7821,-0.12848515694080673,3.161192938165179,-18.75,-1.9590909090909072,-0.1062460160826344,1.545255552532951,18.0
home_playing_top4,0.0,1.0,7821,0.19575501853982866,0.3968061536923577,0.0,0.0,0.0,0.0,1.0
away_playing_top4,0.0,1.0,7821,0.1828410689170183,0.38656088601871424,0.0,0.0,0.0,0.0,1.0
derby_position_gap,0.0,1.0,7821,-0.001022887098836466,0.3854767229701646,-15.0,0.0,0.0,0.0,9.0
away_rolling_corners,0.07952947193453523,0.9204705280654648,7199,4.905469686896334,1.6173653620607389,0.0,3.898251632588909,4.776921535618577,5.787014824621908,17.0
odds_model_gap_home,0.3784682265694924,0.6215317734305076,4861,-0.03589591215771361,0.13406992888066724,-0.5071498240214499,-0.1152115538864289,-0.025660411946530792,0.05379218631561816,0.3828615150347276
odds_model_gap_draw,0.3784682265694924,0.6215317734305076,4861,0.013420407828337014,0.04061924992358266,-0.19146317839587607,-0.00946053180175449,0.015164256024029155,0.03800082243676686,0.16973477005951157
odds_model_gap_away,0.3784682265694924,0.6215317734305076,4861,0.02267378432125384,0.12609691749406862,-0.40921433056207407,-0.05876889816286257,0.00952663273066301,0.09113639290000444,0.5959987875718641
odds_opening_gap_home,0.3784682265694924,0.6215317734305076,4861,-0.03606272328445448,0.13543542080089005,-0.530046047631322,-0.11792933506432457,-0.026719818282810115,0.05520504123576897,0.3551024852606962
odds_opening_gap_draw,0.3784682265694924,0.6215317734305076,4861,0.014715835341072955,0.03830687613782696,-0.16222414202500812,-0.006969740089348475,0.015101778188296777,0.03723386030150913,0.20077914155817966
odds_opening_gap_away,0.3784682265694924,0.6215317734305076,4861,0.021545167935258767,0.12705046766519404,-0.43982291734469864,-0.06147405835019021,0.009105867275910395,0.09436601460280805,0.6196912720265523
