feature,missing_pct,non_missing_pct,count,mean,std,min,p25,p50,p75,max
home_rolling_xg,0.08104429596634496,0.918955704033655,7427,1.3473145332711083,0.4697073086153176,0.01,1.0428273974462816,1.3025952335513453,1.6176731708294705,4.35
home_rolling_xg_against,0.08104429596634496,0.918955704033655,7427,1.3784158471030492,0.47759634641141563,0.09,1.0789123505369567,1.3396694214876033,1.622861823218452,6.25
away_rolling_xg,0.07993071022024252,0.9200692897797574,7436,1.3859477536889466,0.4868552250507654,0.028181818181818183,1.0572788066569538,1.3419039099667625,1.6564146600326342,4.14
away_rolling_xg_against,0.07993071022024252,0.9200692897797574,7436,1.3382584448333632,0.4620629201593006,0.01,1.039696554242814,1.3103859227681225,1.5921963941703487,5.489999999999999
xg_diff,0.0,1.0,8082,0.006831878597331487,0.6343128227828465,-4.268264462809917,-0.3558082527635257,0.0,0.3579969686274096,3.8599999999999994
home_rolling_corners,0.07881712447414006,0.92118287552586,7445,4.7737336987817,1.5605612794944819,0.0,3.818181818181818,4.6665698450390245,5.637912734765581,20.0
rest_delta,0.0,1.0,8082,-0.01205148405992903,2.2835197043612725,-17.510667040254326,-0.27826789158738663,0.0,0.28109730876597316,17.135460389876496
congestion_flag,0.0,1.0,8082,0.1702548874041079,0.37587982419760885,0.0,0.0,0.0,0.0,1.0
home_upcoming_tier,0.0,1.0,8082,0.026849789656025736,0.28167951302234984,0.0,0.0,0.0,0.0,3.0
away_upcoming_tier,0.0,1.0,8082,0.02536500866122247,0.27379918004668946,0.0,0.0,0.0,0.0,3.0
position_gap,0.0,1.0,8082,-0.3390249938134125,8.625720435286164,-35.0,-6.0,1.0,5.0,35.0
points_gap,0.0,1.0,8082,-0.2208611729769859,9.268671645697802,-53.0,-4.0,0.0,4.0,45.0
home_lame_duck,0.0,1.0,8082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_lame_duck,0.0,1.0,8082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_derby,0.0,1.0,8082,0.004825538233110616,0.06930257339012624,0.0,0.0,0.0,0.0,1.0
home_form_streak,0.0,1.0,8082,3.5984904726552833,2.5395303507044447,0.0,1.0,4.0,6.0,9.0
