variant,xg_share_threshold,minutes_share_threshold,football_logic_status,predictive_status,logic_pass,predictive_pass,corr_xg_lost_vs_residual,key_absent_residual_delta,triggered_share,best_triggered_model,best_triggered_lift,best_triggered_global_lift,best_global_model,best_global_lift,train_rows,test_rows
season_xg90,0.12,0.07,warn,warn,False,False,0.017882443147375394,0.12731529100781694,0.21370143149284254,key_absent_only,0.000882098230106218,0.0001899394802580655,key_absent_only,0.0001899394802580655,4394,1423
recency_xg90,0.12,0.07,warn,warn,False,False,0.006632184486345041,0.12731529100781694,0.24092535787321062,key_absent_only,0.0008706320782274116,0.0001899394802580655,key_absent_only,0.0001899394802580655,4394,1423
baseline_avg_xg10,0.12,0.07,warn,warn,False,False,0.024546337147058322,0.12731529100781694,0.25639059304703476,key_absent_only,0.0008635818727795019,0.0001899394802580655,key_absent_only,0.0001899394802580655,4394,1423
starts_minutes_weighted,0.12,0.07,warn,warn,False,False,0.022944878252902166,0.12731529100781694,0.25639059304703476,key_absent_only,0.0008635818727795019,0.0001899394802580655,key_absent_only,0.0001899394802580655,4394,1423
season_xg90,0.08,0.07,warn,warn,False,False,0.017882443147375394,0.1133012994854294,0.21370143149284254,key_absent_only,0.00042580851283735945,1.9656958590079333e-06,key_absent_only,1.9656958590079333e-06,4394,1423
recency_xg90,0.08,0.07,warn,warn,False,False,0.006632184486345041,0.1133012994854294,0.24092535787321062,key_absent_only,0.0004152228412559157,1.9656958590079333e-06,key_absent_only,1.9656958590079333e-06,4394,1423
baseline_avg_xg10,0.08,0.07,warn,warn,False,False,0.024546337147058322,0.1133012994854294,0.25639059304703476,key_absent_only,0.0004070320903318389,1.9656958590079333e-06,key_absent_only,1.9656958590079333e-06,4394,1423
starts_minutes_weighted,0.08,0.07,warn,warn,False,False,0.022944878252902166,0.1133012994854294,0.25639059304703476,key_absent_only,0.0004070320903318389,1.9656958590079333e-06,key_absent_only,1.9656958590079333e-06,4394,1423
season_xg90,0.1,0.07,warn,warn,False,False,0.017882443147375394,0.12963518170919036,0.21370143149284254,key_absent_only,7.853929633416107e-05,-0.00012231693750016647,key_absent_only,-0.00012231693750016647,4394,1423
recency_xg90,0.1,0.07,warn,warn,False,False,0.006632184486345041,0.12963518170919036,0.24092535787321062,key_absent_only,6.847063911994075e-05,-0.00012231693750016647,key_absent_only,-0.00012231693750016647,4394,1423
baseline_avg_xg10,0.1,0.07,warn,warn,False,False,0.024546337147058322,0.12963518170919036,0.25639059304703476,key_absent_only,6.007388759130927e-05,-0.00012231693750016647,key_absent_only,-0.00012231693750016647,4394,1423
starts_minutes_weighted,0.1,0.07,warn,warn,False,False,0.022944878252902166,0.12963518170919036,0.25639059304703476,key_absent_only,6.007388759130927e-05,-0.00012231693750016647,key_absent_only,-0.00012231693750016647,4394,1423
