family,market_code,n,fixtures,fallback_rows,fallback_rate,live_auc,challenger_auc,delta_auc,live_brier,challenger_brier,delta_brier,live_log_loss,challenger_log_loss,delta_log_loss,live_ece,challenger_ece,delta_ece,challenger_better_auc,challenger_better_brier,challenger_better_log_loss
anytime,a_1up,1347,1347,1347,1.0,0.6073078807190047,0.613868158929525,0.006560278210520298,0.2406570849945154,0.24107674498782225,0.00041965999330684234,0.6738959890532332,0.6749807390878,0.0010847500345667616,0.031200446647663364,0.024849117656067978,-0.0063513289915953855,True,False,False
anytime,a_2up,1347,1347,1347,1.0,0.621626211874602,0.6308116906092986,0.009185478734696662,0.1507388400404221,0.15095529203859284,0.0002164519981707469,0.4753448292533353,0.47541090373437334,6.607448103801428e-05,0.020389335285314947,0.007563140554627575,-0.01282619473068737,True,False,False
anytime,h_1up,1347,1347,1347,1.0,0.6443905450290458,0.6390167272459242,-0.005373817783121626,0.22540266983171245,0.22865106342241626,0.0032483935907038075,0.6414987440453199,0.6488408921142998,0.007342148068979926,0.02676253636256947,0.042408732244456245,0.015646195881886774,False,False,False
anytime,h_2up,1347,1347,1347,1.0,0.6254254225673824,0.622627341251713,-0.0027980813156693873,0.18603329592262455,0.1860976083015517,6.431237892715047e-05,0.5568577385899713,0.5575770949985565,0.0007193564085851145,0.026452658023249066,0.02471534979909168,-0.001737308224157387,False,False,False
corners,ac25,1527,1527,1527,1.0,0.548039366841402,0.6213297015794703,0.07329033473806834,0.2167410039380987,0.19491495320107996,-0.021826050737018737,0.677665897211622,0.5766812910583028,-0.10098460615331917,0.12143315509314571,0.030063415601517353,-0.09136973949162835,True,True,True
corners,ac35,1527,1527,1527,1.0,0.5571855370001532,0.6272015195620987,0.07001598256194552,0.27202756168017705,0.2368528314706395,-0.03517473020953754,0.7733251940011997,0.6660882434443662,-0.10723695055683347,0.14357767566645618,0.03761000806582354,-0.10596766760063264,True,True,True
corners,ac45,1527,1527,1527,1.0,0.5464496988861453,0.6131308734966513,0.06668117461050604,0.2741173600680378,0.2339016060718954,-0.040215753996142384,0.7645282017917834,0.6602245538735505,-0.10430364791823288,0.1400797246486616,0.04496940106129747,-0.09511032358736414,True,True,True
corners,ac55,1527,1527,1527,1.0,0.5558037495013961,0.6359708605378623,0.08016711103646623,0.22904318267240717,0.19610269434670344,-0.03294048832570373,0.6627493109911954,0.579234795250618,-0.08351451574057733,0.12508925473362303,0.03837910168111203,-0.08671015305251101,True,True,True
corners,c105,1527,1527,0,0.0,0.5730362157236105,0.5899762167608859,0.016940001037275332,0.2292510073315951,0.22860901332505343,-0.0006419940065416629,0.6508967693284664,0.6494553687403977,-0.001441400588068742,0.030417950819005425,0.03308055978618244,0.002662608967177016,True,True,True
corners,c75,1527,1527,0,0.0,0.5851398038850407,0.5722941046962589,-0.012845699188781867,0.20096293907695365,0.2007013195454839,-0.0002616195314697478,0.591008748484214,0.5904959135983897,-0.0005128348858243204,0.00853904747896375,0.02282926530213317,0.01429021782316942,False,True,True
corners,c85,1527,1527,0,0.0,0.6003740262200943,0.5751559505330739,-0.02521807568702039,0.23263604132892138,0.23220796951377298,-0.0004280718151483953,0.6578006350387099,0.6569450055780334,-0.0008556294606765213,0.035425482165673976,0.021184904047692875,-0.0142405781179811,False,True,True
corners,c95,1527,1527,0,0.0,0.5753259787942216,0.5793012044058607,0.003975225611639099,0.2478536551449573,0.2466042085742435,-0.001249446570713797,0.6888432599218558,0.6863170945009486,-0.0025261654209072226,0.0366970020901597,0.031030173625970558,-0.005666828464189141,True,True,True
corners,hc25,1527,1527,1527,1.0,0.554659945739302,0.6212973239610309,0.06663737822172888,0.1488840134471146,0.13580634858333684,-0.01307766486377776,0.48703348426971343,0.43936485722634155,-0.04766862704337188,0.07651670099466586,0.01551997495802019,-0.06099672603664567,True,True,True
corners,hc35,1527,1527,1527,1.0,0.5831229803060789,0.6356888807593033,0.0525659004532244,0.2208322561764327,0.20206482013162463,-0.018767436044808072,0.6428833808974019,0.5914614091334343,-0.05142197176396768,0.09244255897036138,0.0314165650546253,-0.061025993915736085,True,True,True
corners,hc45,1527,1527,1527,1.0,0.5755807694978818,0.6294404125286479,0.05385964303076607,0.26063873242636165,0.2359061932513749,-0.024732539174986745,0.7284501226166488,0.6641947618199668,-0.06425536079668193,0.11278078533585799,0.028875827092214784,-0.0839049582436432,True,True,True
corners,hc55,1527,1527,1527,1.0,0.5657919284721122,0.6370681310171251,0.07127620254501288,0.2597454372452839,0.23165072283475568,-0.028094714410528243,0.7421259992941668,0.6555161880088323,-0.08660981128533451,0.12448161636936948,0.03049361069763691,-0.09398800567173257,True,True,True
scoreline,1x2_a,1634,1634,1634,1.0,0.643906093906094,0.6506332952761524,0.006727201370058444,0.1985935766841528,0.1981663382241555,-0.00042723845999731447,0.583271749923738,0.5830427283349459,-0.0002290215887921221,0.017631463747970505,0.03079803373483809,0.013166569986867584,True,True,True
scoreline,1x2_d,1634,1634,0,0.0,0.5275496407324423,0.5337238275515723,0.0061741868191300675,0.19522537121286204,0.19350309346770786,-0.0017222777451541826,0.580494162546345,0.5752498635090848,-0.005244299037260203,0.04870885016535595,0.0129337840691448,-0.03577506609621115,True,True,True
scoreline,1x2_h,1634,1634,1634,1.0,0.6459414200462793,0.6471098221897454,0.0011684021434661407,0.2291410599147897,0.23147987471090312,0.00233881479611342,0.6492726601089304,0.6549656565837395,0.005692996474809142,0.0120802102688199,0.03550453518770781,0.023424324918887914,True,False,False
scoreline,ah_a05,1634,1634,1634,1.0,0.643906093906094,0.6506332952761524,0.006727201370058444,0.1985935766841528,0.1981663382241555,-0.00042723845999731447,0.583271749923738,0.5830427283349459,-0.0002290215887921221,0.017631463747970505,0.03079803373483809,0.013166569986867584,True,True,True
scoreline,ah_a15,1634,1634,1634,1.0,0.6475749845951537,0.6617680976822162,0.014193113087062503,0.10591833062395607,0.10522051902129684,-0.0006978116026592346,0.36136700879929406,0.3593155178249078,-0.002051490974386283,0.017633709249280025,0.012611473458893333,-0.005022235790386692,True,True,True
scoreline,ah_h05,1634,1634,1634,1.0,0.6459414200462793,0.6471098221897454,0.0011684021434661407,0.2291410599147897,0.23147987471090312,0.00233881479611342,0.6492726601089304,0.6549656565837395,0.005692996474809142,0.0120802102688199,0.03550453518770781,0.023424324918887914,True,False,False
scoreline,ah_h15,1634,1634,1634,1.0,0.6501787606703235,0.6539496209342137,0.0037708602638901745,0.15359238172739192,0.15334283940721344,-0.0002495423201784863,0.48023042098225405,0.48007898904067964,-0.0001514319415744092,0.02444392602769021,0.022729066583256408,-0.0017148594444338014,True,True,True
scoreline,dc_12,1634,1634,0,0.0,0.5275496407324423,0.5337238275515723,0.0061741868191300675,0.19522537121286204,0.19350309346770786,-0.0017222777451541826,0.580494162546345,0.5752498635090849,-0.005244299037260092,0.048708850165355914,0.012933784069144853,-0.03577506609621106,True,True,True
scoreline,dc_1x,1634,1634,1634,1.0,0.6439060939060939,0.6506332952761524,0.006727201370058555,0.1985935766841528,0.1981663382241555,-0.00042723845999731447,0.5832717499237381,0.5830427283349459,-0.0002290215887922331,0.017631463747970515,0.030798033734838037,0.013166569986867521,True,True,True
scoreline,dc_x2,1634,1634,1634,1.0,0.6459414200462794,0.6471098221897456,0.0011684021434661407,0.2291410599147897,0.23147987471090312,0.00233881479611342,0.6492726601089304,0.6549656565837394,0.005692996474809031,0.012080210268819903,0.03550453518770778,0.023424324918887872,True,False,False
scoreline,eh_a1,1347,1347,1347,1.0,0.6720219435736677,0.6866861586689172,0.014664215095249511,0.12195984097859036,0.12214600203905611,0.00018616106046574765,0.40107790255644565,0.4008712323755362,-0.00020667018090947398,0.02129316252868251,0.027004173649788583,0.005711011121106075,True,False,True
scoreline,eh_h1,1249,1249,1249,1.0,0.6816258094357077,0.6844703977798335,0.00284458834412582,0.17956342178086943,0.182589150694343,0.00302572891347358,0.5392703960648618,0.5457970285962448,0.00652663253138297,0.04274994649708265,0.04875920250621847,0.006009256009135822,True,False,False
scoreline,o15,1634,1634,0,0.0,0.591186965724041,0.5738907212448485,-0.017296244479192424,0.17463390306342313,0.17623708432497315,0.001603181261550013,0.533056465340861,0.5365842328873378,0.0035277675464767677,0.008981790865727726,0.01985601063760787,0.010874219771880144,False,False,False
scoreline,u35,1634,1634,0,0.0,0.5611995801950419,0.5710167084511585,0.00981712825611658,0.20851648201352543,0.2081190025829862,-0.0003974794305392215,0.6071731781518628,0.6062694757432443,-0.0009037024086184786,0.02006328541151804,0.015081862159923538,-0.004981423251594501,True,True,True
