family,market_code,n,fixtures,fallback_rows,fallback_rate,live_auc,challenger_auc,delta_auc,live_brier,challenger_brier,delta_brier,live_log_loss,challenger_log_loss,delta_log_loss,live_ece,challenger_ece,delta_ece,challenger_better_auc,challenger_better_brier,challenger_better_log_loss
anytime,a_1up,1347,1347,1347,1.0,0.6073078807190047,0.613868158929525,0.006560278210520298,0.2406570849945154,0.23984047225159888,-0.0008166127429165282,0.6738959890532332,0.6723034739789097,-0.0015925150743235639,0.031200446647663364,0.03472248187022167,0.0035220352225583083,True,True,True
anytime,a_2up,1347,1347,1347,1.0,0.621626211874602,0.6308116906092986,0.009185478734696662,0.1507388400404221,0.15027282861611127,-0.0004660114243108249,0.4753448292533353,0.4735641617219664,-0.0017806675313689069,0.020389335285314947,0.0075925172442551005,-0.012796818041059846,True,True,True
anytime,h_1up,1347,1347,1347,1.0,0.6443905450290458,0.6390167272459242,-0.005373817783121626,0.22540266983171245,0.22865106342241626,0.0032483935907038075,0.6414987440453199,0.6488408921142998,0.007342148068979926,0.02676253636256947,0.042408732244456245,0.015646195881886774,False,False,False
anytime,h_2up,1347,1347,1347,1.0,0.6254254225673824,0.622627341251713,-0.0027980813156693873,0.18603329592262455,0.1860976083015517,6.431237892715047e-05,0.5568577385899713,0.5575770949985565,0.0007193564085851145,0.026452658023249066,0.02471534979909168,-0.001737308224157387,False,False,False
corners,ac25,1527,1527,1527,1.0,0.548039366841402,0.6213297015794703,0.07329033473806834,0.2167410039380987,0.1937482747781914,-0.0229927291599073,0.677665897211622,0.5742497970491037,-0.10341610016251823,0.12143315509314571,0.018458338865772635,-0.10297481622737308,True,True,True
corners,ac35,1527,1527,1527,1.0,0.5571855370001532,0.6272015195620987,0.07001598256194552,0.27202756168017705,0.2352489887573482,-0.03677857292282885,0.7733251940011997,0.6627795062017622,-0.11054568779943752,0.14357767566645618,0.029570919910275384,-0.1140067557561808,True,True,True
corners,ac45,1527,1527,1527,1.0,0.5464496988861453,0.6131308734966513,0.06668117461050604,0.2741173600680378,0.2329437174350762,-0.04117364263296158,0.7645282017917834,0.6581642674702926,-0.10636393432149083,0.1400797246486616,0.030794408049244812,-0.1092853165994168,True,True,True
corners,ac55,1527,1527,1527,1.0,0.5558037495013961,0.6359708605378623,0.08016711103646623,0.22904318267240717,0.19505289906473905,-0.03399028360766812,0.6627493109911954,0.5767022931609735,-0.08604701783022184,0.12508925473362303,0.026237290255167366,-0.09885196447845566,True,True,True
corners,c105,1527,1527,0,0.0,0.5730362157236105,0.5899762167608859,0.016940001037275332,0.2292510073315951,0.22653518591771787,-0.0027158214138772174,0.6508967693284664,0.6444898144097154,-0.0064069549187509844,0.030417950819005425,0.026044864025197737,-0.004373086793807688,True,True,True
corners,c75,1527,1527,0,0.0,0.5851398038850407,0.5722941046962589,-0.012845699188781867,0.20096293907695365,0.20033158613214158,-0.0006313529448120636,0.591008748484214,0.589663147724416,-0.0013456007597980602,0.00853904747896375,0.02050530574712432,0.011966258268160569,False,True,True
