family,league_code,rows,fixtures,fallback_rows,fallback_rate,live_auc,challenger_auc,delta_auc,live_brier,challenger_brier,delta_brier,live_log_loss,challenger_log_loss,delta_log_loss,live_ece,challenger_ece,delta_ece
anytime,AT1,72,18,0,0.0,0.615909090909091,0.7081818181818181,0.09227272727272717,0.21574532808351918,0.19283391585454662,-0.022911412228972555,0.6224023611777698,0.5710788799355444,-0.05132348124222541,0.18656336698431333,0.11954850631134731,-0.06701486067296603
anytime,B1,140,35,0,0.0,0.6316232127838519,0.6023969722455846,-0.02922624053826728,0.23630069203700513,0.23919138889667613,0.002890696859670999,0.6815467712995903,0.6798305414706391,-0.0017162298289511435,0.13885694159280532,0.09604287710583193,-0.04281406448697339
anytime,BR1,148,37,0,0.0,0.6933908045977011,0.7181992337164751,0.02480842911877401,0.21515344487750038,0.2032527736131634,-0.01190067126433697,0.6244246040218248,0.594523718627261,-0.029900885394563703,0.11670205706741112,0.05035534650204752,-0.06634671056536359
anytime,CH1,128,32,0,0.0,0.7249809014514897,0.7392411510058569,0.01426024955436711,0.20599775815263302,0.20152019623273698,-0.004477561919896039,0.5981360030134371,0.5880881363868611,-0.010047866626575974,0.03850996922406708,0.06453256173485156,0.026022592510784474
anytime,CH2,84,21,0,0.0,0.66796875,0.6862980769230769,0.018329326923076872,0.21858899180226615,0.20761440076862425,-0.0109745910336419,0.6290551195967093,0.6040149535802908,-0.025040166016418564,0.12677609928223568,0.06683211571068101,-0.05994398357155467
anytime,CL,136,34,0,0.0,0.7307023265927376,0.7279843444227005,-0.0027179821700370477,0.21047030139491732,0.20873226488304392,-0.0017380365118734031,0.6037128164799237,0.602559061392328,-0.0011537550875957425,0.07402722817524013,0.07490935906122147,0.0008821308859813387
anytime,D1,160,40,0,0.0,0.8034825870646766,0.832290162092762,0.028807575028085397,0.18277062359682827,0.17642339807688198,-0.006347225519946292,0.5447367553343385,0.5307060892413544,-0.01403066609298409,0.06706326975291808,0.09593290636468582,0.028869636611767738
anytime,D2,144,36,0,0.0,0.7434050324675325,0.7374188311688313,-0.005986201298701199,0.19709346902334912,0.20262179335930663,0.005528324335957513,0.5762653328259747,0.5898860448327797,0.013620712006805036,0.04786955850023546,0.058253063771544586,0.01038350527130913
anytime,DK1,72,18,0,0.0,0.7236201298701298,0.7378246753246752,0.014204545454545414,0.2106787441534166,0.20085371010952532,-0.00982503404389129,0.6066926155354303,0.5840202090360579,-0.02267240649937241,0.0739351350593935,0.1237581590939667,0.0498230240345732
anytime,E0,172,43,0,0.0,0.7626555429864252,0.7524038461538461,-0.010251696832579094,0.18953713753891294,0.19481137327305972,0.005274235734146787,0.5602500922501914,0.5734956071428734,0.013245514892681998,0.07814444754635697,0.05314225038300581,-0.025002197163351156
anytime,E1,256,64,0,0.0,0.7061538461538461,0.6973717948717949,-0.008782051282051229,0.21111612595719945,0.2105594120608888,-0.000556713896310651,0.6104585078615905,0.6096221324221378,-0.0008363754394526968,0.0773079515681119,0.044019146114547214,-0.03328880545356469
anytime,E2,300,75,0,0.0,0.7469675925925927,0.7525,0.005532407407407236,0.19764362666881724,0.19981126227738735,0.002167635608570112,0.578224942301502,0.5849371468130983,0.006712204511596265,0.04733437835402692,0.03722531002129201,-0.010109068332734915
anytime,E3,328,82,0,0.0,0.7202123397435897,0.7088541666666666,-0.011358173076923106,0.19979160349314687,0.2024972990243838,0.0027056955312369235,0.5869624941382121,0.591392327911344,0.004429833773131886,0.03263719362181908,0.03964853571948922,0.00701134209767014
anytime,EC,300,75,0,0.0,0.7202034883720929,0.7105287063953487,-0.009674781976744207,0.21001254759623672,0.21447238061438076,0.004459833018144038,0.6106854244701275,0.6197338223696488,0.009048397899521277,0.04923125665158196,0.043423667833107214,-0.005807588818474749
anytime,ECL,64,16,0,0.0,0.7449392712550608,0.7439271255060729,-0.0010121457489878916,0.2012169852523621,0.20326953351982152,0.002052548267459431,0.5865294973789452,0.5930551153921153,0.006525618013170087,0.11271879487174784,0.11437040373927854,0.001651608867530699
anytime,EL,136,34,0,0.0,0.6926377597109303,0.6836043360433605,-0.009033423667569873,0.21339489640517562,0.217097824340804,0.003702927935628375,0.6173204254245372,0.6247065760018149,0.00738615057727765,0.08803619020454412,0.08413096626085123,-0.003905223943692887
anytime,F1,168,42,0,0.0,0.7244897959183673,0.7164021164021164,-0.00808767951625089,0.20114761241198909,0.2073345212243203,0.006186908812331221,0.5828661598044589,0.599694108359824,0.01682794855536507,0.07402924624483671,0.09310705499112737,0.019077808746290656
anytime,F2,148,37,0,0.0,0.7069791666666666,0.6829166666666666,-0.024062499999999987,0.19973148134926533,0.20102385215019675,0.0012923708009314194,0.5871622485726193,0.5879369409757875,0.0007746924031681868,0.06984150818115256,0.06553693584541685,-0.00430457233573571
anytime,G1,128,32,0,0.0,0.7890560875512996,0.7233926128590972,-0.06566347469220246,0.1758131985759576,0.1941344497973681,0.01832125122141051,0.5247091643249213,0.5698764893579659,0.04516732503304455,0.0676771717886602,0.04924904833016458,-0.01842812345849562
anytime,I1,176,44,0,0.0,0.7462231462231461,0.7082467082467083,-0.037976437976437794,0.19341211729089486,0.20343011809690195,0.010018000806007094,0.5678309459540595,0.5927059179144083,0.024874971960348824,0.07223835524034579,0.044862141894703216,-0.027376213345642574
anytime,I2,208,52,0,0.0,0.7725289977198374,0.7490829780906118,-0.023446019629225656,0.18374793860195476,0.19309570198404347,0.009347763382088703,0.5450815491963816,0.5690761138997252,0.0239945647033436,0.07132457680521165,0.03853788002169841,-0.03278669678351324
anytime,IE1,52,13,0,0.0,0.7414414414414414,0.736936936936937,-0.0045045045045044585,0.19401433928520215,0.19485767382178734,0.0008433345365851941,0.5687871592431326,0.5680111245178054,-0.0007760347253271682,0.13060586425132575,0.10959145847943215,-0.021014405771893604
anytime,JP1,120,30,0,0.0,0.61996336996337,0.6291208791208792,0.009157509157509236,0.22840908341790778,0.22394205243098989,-0.0044670309869178915,0.6576264571082404,0.6415525268305703,-0.016073930277670123,0.09369280297733537,0.14048135577781903,0.04678855280048366
anytime,MX1,140,35,0,0.0,0.7860331632653061,0.7553146258503401,-0.030718537414965996,0.1841550061545234,0.19926909607430746,0.015114089919784052,0.5458007674128065,0.5816732397556418,0.035872472342835304,0.07670364833891917,0.15828227300898626,0.08157862467006709
anytime,N1,156,39,0,0.0,0.7571692101291296,0.7618648331376824,0.004695623008552752,0.19626693347094373,0.19877537028950734,0.0025084368185636086,0.5844362924151261,0.5839932752304839,-0.0004430171846421249,0.06079792390154526,0.07285584477181027,0.012057920870265013
anytime,P1,168,42,0,0.0,0.770356140091621,0.7628195655386434,-0.007536574552977626,0.19071414143089654,0.1936986410101809,0.0029844995792843443,0.5677523465308115,0.5712514087289748,0.0034990621981633163,0.07924301925893772,0.06328544880856815,-0.015957570450369565
anytime,PL1,148,37,0,0.0,0.6617141702041641,0.6626238124115625,0.0009096422073984201,0.2133109564886476,0.20708778566606134,-0.006223170822586249,0.6181838406326174,0.6031145343585653,-0.015069306274052119,0.08111509409565308,0.09588113746685696,0.01476604337120388
anytime,RO1,176,44,0,0.0,0.7695646367521369,0.765357905982906,-0.004206730769230949,0.1914945717888197,0.1950636434280791,0.0035690716392594024,0.5662409170522011,0.5747312262959205,0.008490309243719407,0.06922033233629507,0.06645652618245332,-0.0027638061538417524
anytime,SC0,140,35,0,0.0,0.7224702380952381,0.7572278911564625,0.03475765306122436,0.20775763496898741,0.19592899088896745,-0.011828644080019962,0.6344189878775339,0.574742469936427,-0.059676517941106955,0.06064237810349517,0.07418239647038889,0.013540018366893725
anytime,SC1,88,22,0,0.0,0.757183908045977,0.782183908045977,0.025000000000000022,0.18584767282772285,0.18546310584597284,-0.00038456698175001747,0.5536983870775741,0.5511811303905693,-0.002517256687004865,0.10913947597839023,0.07270043082992501,-0.036439045148465216
anytime,SC2,100,25,0,0.0,0.69041157847128,0.6865671641791045,-0.0038444142921755242,0.19959241732897112,0.2000152876867015,0.00042287035773036497,0.5844616081413592,0.5835709571442586,-0.0008906509971006171,0.13493852907910464,0.09515338889005137,-0.03978514018905327
anytime,SC3,112,28,0,0.0,0.7140158021298524,0.7068017863277225,-0.007214015802129881,0.20548083839732248,0.20448090196891006,-0.0009999364284124235,0.6004009233379292,0.5983343679577319,-0.002066555380197288,0.10591325525461304,0.09386458283607418,-0.012048672418538853
