family,market_code,n,fixtures,fallback_rows,fallback_rate,live_auc,challenger_auc,delta_auc,live_brier,challenger_brier,delta_brier,live_log_loss,challenger_log_loss,delta_log_loss,live_ece,challenger_ece,delta_ece,challenger_better_auc,challenger_better_brier,challenger_better_log_loss
anytime,a_1up,1347,1347,0,0.0,0.6033458963506936,0.6106840077496458,0.007338111398952241,0.24260282696634172,0.24004885222648945,-0.002553974739852277,0.6791637748762793,0.6727430418412913,-0.006420733034988024,0.02569424803179094,0.024830673191707293,-0.0008635748400836474,True,True,True
anytime,a_2up,1347,1347,0,0.0,0.6112023211379237,0.6399971693439954,0.0287948482060717,0.15247373842941003,0.15051303006365813,-0.0019607083657519064,0.48027757368170837,0.4729344889285721,-0.007343084753136275,0.0345700058138114,0.017413456069762866,-0.017156549744048535,True,True,True
anytime,h_1up,1347,1347,0,0.0,0.6422011692027032,0.6408294981826222,-0.0013716710200809556,0.22517323647904336,0.22698994094347982,0.0018167044644364638,0.6438146937042563,0.6451234150949194,0.0013087213906631812,0.0216329482791375,0.023207329931161237,0.0015743816520237368,False,False,False
anytime,h_2up,1347,1347,0,0.0,0.6324377569666514,0.6298338282320695,-0.0026039287345819284,0.1837524428535799,0.18482179224842232,0.0010693493948424337,0.5520904932534003,0.5540966160693022,0.002006122815901845,0.015010504999958228,0.02423156575640755,0.009221060756449323,False,False,False
corners,ac25,1527,1527,0,0.0,0.6294411895706993,0.6072523726316511,-0.022188816939048173,0.193772023396575,0.19424592011676667,0.00047389672019165774,0.5743155176431775,0.5754248606342516,0.0011093429910741248,0.03760287917348768,0.017242517967442163,-0.020360361206045518,False,False,False
corners,ac35,1527,1527,0,0.0,0.6419827778319429,0.61948270819115,-0.022500069640792875,0.23428797416180402,0.23669452993144804,0.00240655576964402,0.660056161185924,0.6660247690045021,0.005968607818578109,0.04310484928952276,0.02970732068275506,-0.013397528606767701,False,False,False
corners,ac45,1527,1527,0,0.0,0.6284485974667353,0.605295695581887,-0.02315290188484831,0.2308322713321612,0.23368807322952695,0.002855801897365756,0.6539742760797126,0.6594123969339223,0.005438120854209694,0.04593234552317369,0.02918388017083385,-0.016748465352339842,False,False,False
corners,ac55,1527,1527,0,0.0,0.6531270337791028,0.6250288665421032,-0.02809816723699954,0.1926151532947777,0.19620877229490152,0.00359361900012381,0.5710913027576404,0.5788592863898198,0.007767983632179343,0.033570215632231136,0.031121035306269373,-0.0024491803259617632,False,False,False
corners,c105,1527,1527,0,0.0,0.5730362157236105,0.5654705895427838,-0.007565626180826679,0.22925100733159504,0.22942011623678266,0.00016910890518762045,0.6508967693284664,0.6511653466669733,0.00026857733850693677,0.030417950819005384,0.027495742516852058,-0.0029222083021533257,False,False,False
corners,c75,1527,1527,0,0.0,0.5851398038850407,0.5580215760326519,-0.02711822785238882,0.20096293907695365,0.2016722469232066,0.000709307846252949,0.591008748484214,0.5929770590161012,0.001968310531887174,0.008539047478963767,0.02238909993553565,0.013850052456571884,False,False,False
corners,c85,1527,1527,0,0.0,0.6003740262200943,0.5593759792454618,-0.040998046974632496,0.23263604132892132,0.2334009277951333,0.0007648864662119781,0.6578006350387099,0.6595184479487664,0.0017178129100564599,0.035425482165673976,0.018053870134385093,-0.017371612031288883,False,False,False
corners,c95,1527,1527,0,0.0,0.5753259787942216,0.5668273684932916,-0.00849861030093002,0.24785365514495725,0.24715865039130225,-0.0006950047536549986,0.6888432599218558,0.6874572194212127,-0.0013860405006430598,0.03669700209015966,0.01872568500452853,-0.017971317085631128,False,True,True
corners,hc25,1527,1527,0,0.0,0.6266339869281045,0.6209027007029226,-0.00573128622518182,0.13392784325098675,0.13449708344605876,0.0005692401950720127,0.4348574093933347,0.4360884796325598,0.001231070239225085,0.011881633820698892,0.006894828918897839,-0.004986804901801052,False,False,False
corners,hc35,1527,1527,0,0.0,0.6523890819665468,0.629839643924151,-0.02254943804239573,0.19934723664976703,0.20106991865072465,0.001722682000957626,0.5848307588309083,0.5893278320053873,0.004497073174479005,0.03719993341426285,0.013241347049204495,-0.023958586365058356,False,False,False
corners,hc45,1527,1527,0,0.0,0.6359208972845337,0.6201194527397735,-0.01580144454476018,0.23451363888142998,0.23575216987820968,0.001238530996779702,0.6611749092139625,0.6639024528439382,0.002727543629975737,0.03227385201396333,0.015853802855414764,-0.016420049158548566,False,False,False
corners,hc55,1527,1527,0,0.0,0.6386917647887076,0.6282978685956668,-0.010393896193040764,0.23143113809739774,0.23104952596479794,-0.00038161213259979565,0.6553332747869768,0.6536102729875073,-0.0017230017994694924,0.03715921276893364,0.019911479944379553,-0.01724773282455409,False,True,True
scoreline_directional,1x2_a,1634,1634,0,0.0,0.6347741544170116,0.6506136720422435,0.015839517625231947,0.20190614043630561,0.19730653305651968,-0.0045996073797859305,0.589886066663421,0.5808947979158984,-0.008991268747522652,0.036342517144683326,0.017429013779211952,-0.018913503365471374,True,True,True
