family,league_code,rows,fixtures,fallback_rows,fallback_rate,live_auc,challenger_auc,delta_auc,live_brier,challenger_brier,delta_brier,live_log_loss,challenger_log_loss,delta_log_loss,live_ece,challenger_ece,delta_ece
anytime,AT1,96,24,0,0.0,0.634033203125,0.69775390625,0.063720703125,0.21789793786513287,0.20121626203193133,-0.016681675833201542,0.6248065878045953,0.5889031041990999,-0.035903483605495445,0.14999790282865053,0.07361203673132993,-0.07638586609732059
anytime,B1,148,37,0,0.0,0.6627906976744187,0.6277194298574643,-0.035071267816954355,0.22804543397586038,0.23484080775711763,0.006795373781257247,0.6603731077730426,0.6677179387152787,0.007344830942236147,0.14991742918034442,0.0998776416448319,-0.050039787535512525
anytime,BR1,152,38,0,0.0,0.6857116654438737,0.6922230374174615,0.006511371973587754,0.2182945644658884,0.20947438732575668,-0.008820177140131724,0.6299725705892011,0.6074005712538129,-0.022571999335388226,0.08601365437963353,0.06897679163798105,-0.017036862741652475
anytime,CH1,136,34,0,0.0,0.7461692205196535,0.7588274483677548,0.012658227848101333,0.20087712567881066,0.19938812855309748,-0.0014889971257131818,0.5848482693816925,0.5824917984267117,-0.002356470954980816,0.0511443379335575,0.10079726989237646,0.04965293195881896
anytime,CH2,100,25,0,0.0,0.5978120978120979,0.6057486057486058,0.007936507936507908,0.23984484311089663,0.22813510388266697,-0.011709739228229654,0.6770317062940197,0.6492000750097386,-0.02783163128428101,0.1279213787836833,0.11300798393585038,-0.014913394847832911
anytime,CL,64,16,0,0.0,0.6290322580645161,0.6451612903225806,0.016129032258064502,0.24842117724022703,0.24487697173713424,-0.0035442055030927844,0.6925819820215442,0.6845453049895818,-0.008036677031962425,0.13368280165692364,0.1316096443472619,-0.002073157309661733
anytime,D1,172,43,0,0.0,0.7952083333333334,0.8059722222222222,0.010763888888888795,0.18545711546440344,0.18316931981609266,-0.0022877956483107753,0.5508112842472298,0.5451118243589165,-0.00569945988831333,0.06855881053338153,0.08172638963028354,0.013167579096902013
anytime,D2,168,42,0,0.0,0.7342998798076923,0.7367788461538461,0.0024789663461538547,0.19948998666150114,0.19924062942981344,-0.0002493572316877024,0.5807831624136164,0.5822180464923685,0.001434884078752141,0.03797453680694029,0.06639224188705699,0.0284177050801167
anytime,DK1,72,18,0,0.0,0.7236201298701298,0.7321428571428571,0.008522727272727293,0.2106787441534166,0.2031232117110197,-0.007555532442396901,0.6066926155354303,0.5899219558656528,-0.016770659669777532,0.0739351350593935,0.1274144864692584,0.0534793514098649
anytime,E0,140,35,0,0.0,0.7895267997308814,0.7986095537115945,0.00908275398071312,0.1762626505924877,0.17806069175114878,0.0017980411586610845,0.5274240361575311,0.5355419989319603,0.008117962774429222,0.09247579285818862,0.11213592444501812,0.0196601315868295
anytime,E1,320,80,0,0.0,0.71906490963241,0.7209416180490391,0.0018767084166291248,0.20706169949845132,0.20583819713834464,-0.001223502360106682,0.6010965980739102,0.5982230883458097,-0.0028735097281005206,0.04103139206934381,0.055212139513742625,0.014180747444398817
anytime,E2,316,79,0,0.0,0.7058105872622003,0.7208436724565758,0.015033085194375517,0.21327000492943485,0.20815965648500995,-0.0051103484444249,0.6177731559302425,0.6046198004407282,-0.013153355489514351,0.07121325789837123,0.06022216192874472,-0.010991095969626503
anytime,E3,348,87,0,0.0,0.7125942444515239,0.7074439842837421,-0.0051502601677817506,0.20394110704657786,0.20343072543822027,-0.0005103816083575907,0.5960256237336538,0.5930360112179883,-0.0029896125156654296,0.04157371499601057,0.033300612325241605,-0.008273102670768966
anytime,EC,392,98,0,0.0,0.7239101016265556,0.7148884230636559,-0.009021678562899704,0.2093909416317113,0.21231550303278615,0.00292456140107486,0.607970021478105,0.614215890747755,0.006245869269649984,0.041181175689382,0.04306994004644747,0.0018887643570654686
anytime,ECL,64,16,0,0.0,0.7449392712550608,0.715587044534413,-0.029352226720647745,0.2012169852523621,0.20810545354267823,0.006888468290316141,0.5865294973789452,0.6056708060287276,0.019141308649782363,0.11271879487174784,0.08135624920910192,-0.031362545662645916
