family,market_code,n,fixtures,fallback_rows,fallback_rate,live_auc,challenger_auc,delta_auc,live_brier,challenger_brier,delta_brier,live_log_loss,challenger_log_loss,delta_log_loss,live_ece,challenger_ece,delta_ece,challenger_better_auc,challenger_better_brier,challenger_better_log_loss
anytime,a_1up,1432,1432,0,0.0,0.5923704550562348,0.5986515404684432,0.006281085412208398,0.2448072307637956,0.24156796403609276,-0.003239266727702833,0.6835449756734635,0.675877407412848,-0.007667568260615543,0.028824912656976103,0.02327590179216931,-0.005549010864806792,True,True,True
anytime,a_2up,1432,1432,0,0.0,0.6052417130535078,0.6187753873928089,0.013533674339301083,0.15328339435011673,0.15128992760613463,-0.0019934667439820974,0.4831650230720256,0.47713211273514533,-0.006032910336880248,0.02761267215689918,0.011454141083031187,-0.016158531073867992,True,True,True
anytime,h_1up,1432,1432,0,0.0,0.6087115553670337,0.6086162698485883,-9.528551844539823e-05,0.23083882783995407,0.23032989218306285,-0.000508935656891224,0.6568195951235276,0.6524393848489038,-0.004380210274623764,0.029477745498354527,0.02450481129992271,-0.004972934198431818,False,True,True
anytime,h_2up,1432,1432,0,0.0,0.6191242545132172,0.6081283244680851,-0.010995930045132107,0.1863143435906661,0.1883074213950163,0.0019930778043502073,0.5577106985394333,0.5626062822991029,0.004895583759669586,0.014286262597607964,0.0278819092944786,0.013595646696870637,False,False,False
corners,ac25,1527,1527,0,0.0,0.6315943313804091,0.6213297015794703,-0.010264629800938785,0.19382155528713477,0.1937482747781914,-7.328050894336857e-05,0.574175658621451,0.5742497970491037,7.413842765269241e-05,0.04091627015679996,0.018458338865772635,-0.022457931291027324,False,True,False
corners,ac35,1527,1527,0,0.0,0.6387444809671714,0.6272015195620987,-0.011542961405072716,0.23474834824231422,0.2352489887573482,0.0005006405150339843,0.66110414232832,0.6627795062017622,0.0016753638734421372,0.04171877248876763,0.029570919910275384,-0.012147852578492248,False,False,False
corners,ac45,1527,1527,0,0.0,0.6240597964150574,0.6131308734966513,-0.010928922918406081,0.23135009096504391,0.2329437174350762,0.0015936264700322778,0.6550735584597945,0.6581642674702926,0.003090709010498016,0.042512537825853895,0.030794408049244812,-0.011718129776609083,False,False,False
corners,ac55,1527,1527,0,0.0,0.6501270127852539,0.6359708605378623,-0.014156152247391529,0.19311337199864498,0.19505289906473905,0.001939527066094071,0.5721911059109929,0.5767022931609735,0.004511187249980675,0.03294514361032576,0.026237290255167366,-0.006707853355158392,False,False,False
corners,c105,1527,1527,0,0.0,0.5649667701472191,0.5899762167608859,0.025009446613666775,0.22997973495384685,0.22653518591771787,-0.00344454903612898,0.6523760387210098,0.6444898144097154,-0.007886224311294376,0.033440575927267124,0.026044864025197737,-0.007395711902069387,True,True,True
corners,c75,1527,1527,0,0.0,0.5794695327451014,0.5722941046962589,-0.007175428048842525,0.2011125894055716,0.20033158613214158,-0.000781003273430031,0.5913581686104862,0.589663147724416,-0.0016950208860702087,0.008285633275908276,0.02050530574712432,0.012219672471216043,False,True,True
corners,c85,1527,1527,0,0.0,0.5928798379280441,0.5751559505330739,-0.017723887394970217,0.23278051548780743,0.23220796951377298,-0.0005725459740344441,0.6581120133089997,0.6569450055780334,-0.0011670077309663407,0.0347696745459103,0.021184904047692875,-0.013584770498217422,False,True,True
corners,c95,1527,1527,0,0.0,0.5668565350169853,0.5793012044058607,0.012444669388875451,0.24807397927108912,0.2466042085742435,-0.0014697706968456181,0.6892877704681399,0.6863170945009486,-0.0029706759671913607,0.03536966648986023,0.031030173625970558,-0.004339492863889672,True,True,True
corners,hc25,1527,1527,0,0.0,0.6298449253915404,0.6212973239610309,-0.008547601430509477,0.13402701151443502,0.13580634858333684,0.0017793370689018206,0.43491232265479535,0.43936485722634155,0.004452534571546207,0.012721373418554489,0.01551997495802019,0.002798601539465701,False,False,False
corners,hc35,1527,1527,0,0.0,0.6534906408145845,0.6356888807593033,-0.017801760055281224,0.19910631658564926,0.20088357703631174,0.0017772604506624823,0.584163907142895,0.5883425137237384,0.004178606580843347,0.03633065041238156,0.025556316639456778,-0.01077433377292478,False,False,False
corners,hc45,1527,1527,0,0.0,0.6326915063546079,0.6294404125286479,-0.0032510938259600053,0.23468489964980696,0.23460885313377763,-7.604651602932666e-05,0.6614914211537021,0.6612692765682818,-0.0002221445854202475,0.030697505386383717,0.025899677953558246,-0.004797827432825471,False,True,True
corners,hc55,1527,1527,0,0.0,0.6363113152753577,0.6370681310171251,0.000756815741767447,0.2315664576482617,0.2296716607521536,-0.0018947968961081085,0.65561633200638,0.6511999846836093,-0.004416347322770742,0.040149553926233095,0.0177085632363472,-0.022440990689885896,True,True,True
