family,league_code,rows,fixtures,fallback_rows,fallback_rate,live_auc,challenger_auc,delta_auc,live_brier,challenger_brier,delta_brier,live_log_loss,challenger_log_loss,delta_log_loss,live_ece,challenger_ece,delta_ece
anytime,AT1,72,18,0,0.0,0.615909090909091,0.7263636363636363,0.11045454545454536,0.21574532808351918,0.18901084305268484,-0.026734485030834337,0.6224023611777698,0.5601449320753327,-0.062257429102437145,0.18656336698431333,0.07657421070260514,-0.10998915628170819
anytime,B1,140,35,0,0.0,0.6322539949537427,0.61080740117746,-0.021446593776282663,0.23601850779604783,0.24055562974115666,0.00453712194510883,0.6807545192322735,0.6841330122194992,0.003378492987225701,0.13857834885018305,0.12838868993505675,-0.010189658915126298
anytime,BR1,148,37,0,0.0,0.696072796934866,0.7312260536398467,0.03515325670498071,0.21476722251616975,0.19958094678807034,-0.015186275728099413,0.6240838347452059,0.5839712734878869,-0.04011256125731899,0.12537945533854358,0.052665379484861254,-0.07271407585368234
anytime,CH1,128,32,0,0.0,0.7249809014514897,0.7344028520499108,0.009421950598421103,0.20601072438991383,0.20345976206578206,-0.002550962324131767,0.5981623688256804,0.5923512921638552,-0.005811076661825232,0.03849509631349586,0.04744222902599801,0.008947132712502151
anytime,CH2,84,21,0,0.0,0.66796875,0.6676682692307693,-0.00030048076923072653,0.21858899180226615,0.21221198218881504,-0.006377009613451112,0.6290551195967093,0.6140307442640196,-0.015024375332689743,0.12677609928223568,0.08709010684261052,-0.03968599243962516
anytime,CL,136,34,0,0.0,0.7307023265927376,0.7127636442704935,-0.01793868232224405,0.21047030139491732,0.2161907707283205,0.005720469333403172,0.6037128164799237,0.61947572559367,0.015762909113746337,0.07402722817524013,0.07947153920970577,0.005444311034465646
anytime,D1,160,40,0,0.0,0.8034825870646766,0.8157599101267854,0.012277323062108825,0.18277062359682827,0.18007774940859073,-0.0026928741882375484,0.5447367553343385,0.5370594018036676,-0.007677353530670894,0.06706326975291808,0.08026125076743328,0.013197981014515192
anytime,D2,144,36,0,0.0,0.7429991883116884,0.7510146103896104,0.008015422077921941,0.19736887385706875,0.20048525670610562,0.0031163828490368695,0.5768571811794886,0.5844224671555546,0.007565285976065983,0.047637534119831126,0.09669801654411199,0.04906048242428086
anytime,DK1,72,18,0,0.0,0.7236201298701298,0.7402597402597403,0.016639610389610482,0.2106787441534166,0.19911893090703162,-0.011559813246384998,0.6066926155354303,0.5797630749271112,-0.02692954060831909,0.0739351350593935,0.1000589067354866,0.026123771676093102
anytime,E0,172,43,0,0.0,0.7630090497737557,0.7802601809954751,0.017251131221719396,0.18826388823485193,0.18609337201674447,-0.00217051621810746,0.5575789173605843,0.5526455165777286,-0.004933400782855646,0.08124374936957007,0.06974692790641686,-0.011496821463153215
