family,market_code,n,fixtures,fallback_rows,fallback_rate,live_auc,challenger_auc,delta_auc,live_brier,challenger_brier,delta_brier,live_log_loss,challenger_log_loss,delta_log_loss,live_ece,challenger_ece,delta_ece,challenger_better_auc,challenger_better_brier,challenger_better_log_loss
anytime,a_1up,1347,1347,0,0.0,0.6050560260557568,0.6106840077496458,0.005627981693889006,0.24242244713651734,0.24004885222648945,-0.002373594910027893,0.6787234595372943,0.6727430418412913,-0.005980417696002993,0.024315482507111918,0.024830673191707293,0.0005151906845953756,True,True,True
anytime,a_2up,1347,1347,0,0.0,0.6081859033330975,0.6399971693439954,0.0318112660108979,0.15270018470286886,0.15051303006365813,-0.0021871546392107366,0.4814011644300517,0.4729344889285721,-0.008466675501479615,0.030394862035192864,0.017413456069762866,-0.012981405965429998,True,True,True
anytime,h_1up,1347,1347,0,0.0,0.6406037655882176,0.6408294981826222,0.00022573259440461513,0.22551907956472614,0.22698994094347982,0.001470861378753685,0.6445779904001712,0.6451234150949194,0.0005454246947482755,0.01890966749226306,0.023207329931161237,0.0042976624388981755,True,False,False
anytime,h_2up,1347,1347,0,0.0,0.6299837254454089,0.6298338282320695,-0.00014989721333946715,0.18413700166429153,0.18482179224842232,0.00068479058413079,0.5530059343032017,0.5540966160693022,0.0010906817661004986,0.018681521074147545,0.02423156575640755,0.005550044682260006,False,False,False
corners,ac25,1527,1527,0,0.0,0.6271895450029122,0.6151368760064413,-0.01205266899647095,0.19399148204253605,0.19380568379269772,-0.00018579824983833149,0.5747484721204297,0.5738871978093119,-0.0008612743111178212,0.036877249151701944,0.031222814264229338,-0.005654434887472606,False,True,True
corners,ac35,1527,1527,0,0.0,0.6391788654122039,0.6211088207028149,-0.018070044709389,0.2348512387510077,0.23663664488210553,0.0017854061310978442,0.6612892342942673,0.6655133628091122,0.004224128514844883,0.04226334811656236,0.039045992823021576,-0.003217355293540787,False,False,False
corners,ac45,1527,1527,0,0.0,0.6251674335151268,0.6068590005507097,-0.018308432964417087,0.23132121327634025,0.23340081555696882,0.002079602280628562,0.6550371296640454,0.6587567862549656,0.0037196565909202173,0.04457341322033953,0.04086904320371739,-0.0037043700166221397,False,False,False
corners,ac55,1527,1527,0,0.0,0.6484391073415487,0.6257699494048244,-0.022669157936724305,0.19316796021190405,0.19568202445553148,0.002514064243627434,0.5723656068215878,0.5777710519243715,0.005405445102783735,0.03467380799065916,0.03427045209263449,-0.0004033558980246696,False,False,False
corners,c105,1527,1527,0,0.0,0.5655243055812816,0.5726018567226547,0.007077551141373095,0.23001833870247335,0.22843022556157533,-0.0015881131408980176,0.652464773665531,0.6488928891732215,-0.003571884492309496,0.030694826302701962,0.024978677326561678,-0.005716148976140284,True,True,True
corners,c75,1527,1527,0,0.0,0.5820935017867123,0.5780755161142819,-0.004017985672430391,0.20108376606229372,0.19937941924617356,-0.001704346816120167,0.5913218203585563,0.5870530470993829,-0.0042687732591734084,0.008113036749611524,0.016859116584454437,0.008746079834842912,False,True,True
corners,c85,1527,1527,0,0.0,0.5934819600212792,0.5740346006135998,-0.019447359407679388,0.23282878226738216,0.23140109232047384,-0.0014276899469083115,0.6582131304858012,0.6551863988743946,-0.0030267316114066523,0.033346183290824505,0.007721913367361499,-0.025624269923463006,False,True,True
corners,c95,1527,1527,0,0.0,0.570745118896476,0.5730329753285524,0.002287856432076407,0.2479666118464122,0.24559946306497138,-0.0023671487814408143,0.6890722579196812,0.6842253625701685,-0.004846895349512659,0.03680204956980645,0.008592013526525494,-0.028210036043280956,True,True,True
corners,hc25,1527,1527,0,0.0,0.6285099889012209,0.6178659514120113,-0.010644037489209612,0.133895301689327,0.13454718194939028,0.00065188026006327,0.4347353130680464,0.4359391022896845,0.0012037892216381074,0.011368640994637212,0.02115019814956012,0.009781557154922908,False,False,False
corners,hc35,1527,1527,0,0.0,0.6508637684694023,0.6291547263378249,-0.021709042131577427,0.19938760030990274,0.20120026897322682,0.0018126686633240796,0.585027194622064,0.5892730707139109,0.004245876091846901,0.034811799347850496,0.01593243018145073,-0.018879369166399766,False,False,False
corners,hc45,1527,1527,0,0.0,0.6326046947704702,0.620194110702132,-0.01241058406833817,0.2347074967430991,0.23598476077397695,0.001277264030877856,0.6615605675480483,0.6642439206318217,0.002683353083773432,0.03089371181419317,0.026697549130218635,-0.004196162683974533,False,False,False
corners,hc55,1527,1527,0,0.0,0.6352931340971891,0.6221148599890878,-0.013178274108101351,0.2317080445791592,0.2324296768637531,0.0007216322845939038,0.6558812364045592,0.6565141123722934,0.0006328759677342033,0.03713043611399276,0.019550519122813425,-0.017579916991179338,False,False,False
scoreline_directional,1x2_a,1634,1634,0,0.0,0.6307710146995861,0.6506136720422435,0.019842657342657444,0.2024366891389303,0.19730653305651968,-0.005130156082410603,0.5909966390936571,0.5808947979158984,-0.010101841177758697,0.03540792848697409,0.017429013779211952,-0.01797891470776214,True,True,True
scoreline_directional,1x2_d,1634,1634,0,0.0,0.527476241984084,0.5337373483736383,0.0062611063895542385,0.19522557085849263,0.19350310612002175,-0.0017224647384708747,0.5805813224688354,0.5752499267615999,-0.005331395707235509,0.05089062484243146,0.012932992598093121,-0.03795763224433834,True,True,True
scoreline_directional,1x2_h,1634,1634,0,0.0,0.6451695895749605,0.6471067774936061,0.001937187918645611,0.22968583967718592,0.23069933375460325,0.0010134940774173262,0.6509328819297917,0.6533416515827215,0.0024087696529297986,0.02343681074820155,0.020570064609763808,-0.002866746138437744,True,False,False
scoreline_directional,ah2_away_m05,1634,1634,1634,1.0,0.6433031254459826,0.6506136720422435,0.007310546596260958,0.19867658385444298,0.19730653305651968,-0.0013700507979232945,0.5834412089094803,0.5808947979158984,-0.0025464109935818824,0.017462660501602223,0.017429013779211952,-3.364672239027089e-05,True,True,True
scoreline_directional,ah2_away_m15,1634,1634,1634,1.0,0.6478021845621065,0.6617818673771829,0.013979682815076444,0.10592817783211245,0.10511514769684863,-0.0008130301352638203,0.36137586284348033,0.3584432972732121,-0.0029325655702682196,0.017549638069494843,0.005873882534889144,-0.0116757555346057,True,True,True
scoreline_directional,ah2_away_p05,1634,1634,1634,1.0,0.6448833881378638,0.6471067774936062,0.0022233893557424,0.22922367983937847,0.23069933375460325,0.0014756539152247783,0.6494383902909375,0.6533416515827215,0.003903261291783977,0.013309649987379768,0.020570064609763773,0.007260414622384005,True,False,False
scoreline_directional,ah2_away_p15,1634,1634,1634,1.0,0.6500040759761962,0.6539379752879386,0.003933899311742373,0.15357547679179948,0.15334291029857017,-0.0002325664932293081,0.48019989907123295,0.480079221276253,-0.0001206777949799287,0.02447648583103893,0.022728022786329644,-0.001748463044709287,True,True,True
scoreline_directional,ah2_home_m05,1634,1634,1634,1.0,0.6448833881378639,0.6471067774936061,0.002223389355742178,0.2292236798393785,0.23069933375460325,0.0014756539152247505,0.6494383902909375,0.6533416515827215,0.003903261291783977,0.013309649987379782,0.020570064609763808,0.007260414622384026,True,False,False
scoreline_directional,ah2_home_m15,1634,1634,1634,1.0,0.6500040759761964,0.6539379752879386,0.003933899311742262,0.15357547679179948,0.15334291029857017,-0.0002325664932293081,0.48019989907123295,0.480079221276253,-0.0001206777949799287,0.024476485831038907,0.022728022786329627,-0.0017484630447092801,True,True,True
scoreline_directional,ah2_home_p05,1634,1634,1634,1.0,0.6433031254459826,0.6506136720422435,0.007310546596260958,0.19867658385444298,0.19730653305651968,-0.0013700507979232945,0.5834412089094803,0.5808947979158984,-0.0025464109935818824,0.01746266050160226,0.01742901377921205,-3.364672239021191e-05,True,True,True
scoreline_directional,ah2_home_p15,1634,1634,1634,1.0,0.6478021845621065,0.6617818673771829,0.013979682815076444,0.10592817783211245,0.10511514769684863,-0.0008130301352638203,0.36137586284348033,0.3584432972732121,-0.0029325655702682196,0.017549638069494906,0.00587388253488918,-0.011675755534605725,True,True,True
scoreline_directional,dc_12,1634,1634,0,0.0,0.527476241984084,0.5337373483736383,0.0062611063895542385,0.19522557085849263,0.19350310612002172,-0.0017224647384709024,0.5805813224688354,0.5752499267615999,-0.005331395707235509,0.05089062484243153,0.012932992598093065,-0.037957632244338464,True,True,True
scoreline_directional,dc_1x,1634,1634,0,0.0,0.6309128371628371,0.6506136720422435,0.019700834879406437,0.20253257721805543,0.19730653305651968,-0.005226044161535742,0.5914683579181438,0.5808947979158984,-0.010573560002245408,0.03143294296491028,0.017429013779212046,-0.014003929185698236,True,True,True
scoreline_directional,dc_x2,1634,1634,0,0.0,0.6452989891608818,0.6471067774936062,0.001807788332724436,0.22963392194705196,0.23069933375460325,0.001065411807551292,0.6508286412384856,0.6533416515827215,0.0025130103442358998,0.02337607549326742,0.020570064609763766,-0.0028060108835036533,True,False,False
scoreline_directional,eh3_0_1_away,1634,1634,1634,1.0,0.6448833881378638,0.6471067774936062,0.0022233893557424,0.22922367983937847,0.23069933375460325,0.0014756539152247783,0.6494383902909375,0.6533416515827215,0.003903261291783977,0.013309649987379768,0.020570064609763773,0.007260414622384005,True,False,False
scoreline_directional,eh3_0_1_draw,1634,1634,1634,1.0,0.5557464153140694,0.5781289967038566,0.022382581389787215,0.17897453454529205,0.17714199097479247,-0.001832543570499584,0.5423214214038581,0.5389546245816466,-0.0033667968222115263,0.021736368990998425,0.006390635487113821,-0.015345733503884604,True,True,True
scoreline_directional,eh3_0_1_home,1634,1634,1634,1.0,0.6500040759761964,0.6539379752879386,0.003933899311742262,0.15357547679179948,0.15334291029857017,-0.0002325664932293081,0.48019989907123295,0.480079221276253,-0.0001206777949799287,0.024476485831038907,0.022728022786329627,-0.0017484630447092801,True,True,True
scoreline_directional,eh3_1_0_away,1634,1634,1634,1.0,0.6478021845621065,0.6617818673771829,0.013979682815076444,0.10592817783211245,0.10511514769684863,-0.0008130301352638203,0.36137586284348033,0.3584432972732121,-0.0029325655702682196,0.017549638069494843,0.005873882534889144,-0.0116757555346057,True,True,True
scoreline_directional,eh3_1_0_draw,1634,1634,1634,1.0,0.5924586576441647,0.5969181740815181,0.004459516437353428,0.14273272119215244,0.14258472082921891,-0.0001480003629335258,0.4572473224522294,0.45698759365020236,-0.000259728802027015,0.01636413485200673,0.013794601196828925,-0.0025695336551778067,True,True,True
scoreline_directional,eh3_1_0_home,1634,1634,1634,1.0,0.6433031254459826,0.6506136720422435,0.007310546596260958,0.19867658385444298,0.19730653305651968,-0.0013700507979232945,0.5834412089094803,0.5808947979158984,-0.0025464109935818824,0.01746266050160226,0.01742901377921205,-3.364672239021191e-05,True,True,True
scoreline_totals_core,o15,1634,1634,0,0.0,0.589728818351977,0.5738907212448485,-0.015838097107128468,0.17481672560162373,0.17570951236465457,0.0008927867630308395,0.5333855228529598,0.5348835621443994,0.0014980392914395457,0.010437929279995602,0.009178228037621756,-0.0012597012423738452,False,False,False
scoreline_totals_core,u35,1634,1634,0,0.0,0.5586310367008605,0.570984635067256,0.012353598366395602,0.20885236220860234,0.20811932012822285,-0.0007330420803794979,0.6080439876813508,0.6062701948438366,-0.001773792837514221,0.019423574970174225,0.015085459646546865,-0.004338115323627359,True,True,True
