================================================================================
MARKET       |    AUC |    BSS |   BRIER |   BASE |     N
--------------------------------------------------------------------------------
ah_h15       |  0.664 |  0.060 |  0.1543 |  0.207 |  1604
eh_h1        |  0.664 |  0.060 |  0.1543 |  0.207 |  1604
dc_x2        |  0.653 |  0.075 |  0.2281 |  0.559 |  1604
1x2_h        |  0.653 |  0.075 |  0.2281 |  0.441 |  1604
ah_h05       |  0.653 |  0.075 |  0.2281 |  0.441 |  1604
h_1up        |  0.648 |  0.063 |  0.2239 |  0.605 |  1470
1x2_a        |  0.634 |  0.037 |  0.2023 |  0.300 |  1604
ah_a05       |  0.634 |  0.037 |  0.2023 |  0.300 |  1604
dc_1x        |  0.634 |  0.037 |  0.2023 |  0.700 |  1604
home_and_o25 |  0.629 |  0.048 |  0.1949 |  0.287 |  1604
ah_a15       |  0.629 |  0.008 |  0.1115 |  0.129 |  1604
eh_a1        |  0.629 |  0.008 |  0.1115 |  0.129 |  1604
h_2up        |  0.628 |  0.046 |  0.1866 |  0.267 |  1470
away_and_o25 |  0.617 |  0.024 |  0.1472 |  0.185 |  1604
a_1up        |  0.616 |  0.041 |  0.2396 |  0.487 |  1470
ho15         |  0.613 |  0.043 |  0.2368 |  0.448 |  1604
away_or_o15  |  0.608 |  0.018 |  0.1362 |  0.834 |  1604
a_2up        |  0.601 |  0.015 |  0.1543 |  0.195 |  1470
o15          |  0.597 |  0.021 |  0.1724 |  0.772 |  1604
u15          |  0.597 |  0.021 |  0.1724 |  0.228 |  1604
ao15         |  0.590 |  0.018 |  0.2262 |  0.360 |  1604
home_or_o15  |  0.581 |  0.007 |  0.1134 |  0.868 |  1604
home_or_o25  |  0.580 |  0.017 |  0.2083 |  0.695 |  1604
o35          |  0.573 |  0.011 |  0.2076 |  0.300 |  1604
u35          |  0.573 |  0.011 |  0.2076 |  0.700 |  1604
o25          |  0.572 |  0.015 |  0.2446 |  0.541 |  1604
u25          |  0.571 |  0.015 |  0.2446 |  0.459 |  1604
o45          |  0.570 |  0.010 |  0.1259 |  0.150 |  1604
u45          |  0.570 |  0.010 |  0.1259 |  0.850 |  1604
away_or_o25  |  0.557 |  0.010 |  0.2234 |  0.656 |  1604
c85          |  0.555 |  0.006 |  0.2335 |  0.623 |  1402
btts         |  0.551 |  0.003 |  0.2445 |  0.569 |  1604
1x2_d        |  0.549 |  0.005 |  0.1909 |  0.259 |  1604
dc_12        |  0.549 |  0.005 |  0.1909 |  0.741 |  1604
