family,league_code,rows,fixtures,fallback_rows,fallback_rate,live_auc,challenger_auc,delta_auc,live_brier,challenger_brier,delta_brier,live_log_loss,challenger_log_loss,delta_log_loss,live_ece,challenger_ece,delta_ece
anytime,AT1,72,18,0,0.0,0.615909090909091,0.6872727272727273,0.0713636363636363,0.21574532808351918,0.19558837269801974,-0.020156955385499442,0.6224023611777698,0.5767435776387626,-0.04565878353900721,0.18656336698431333,0.09144482768768057,-0.09511853929663276
anytime,B1,140,35,0,0.0,0.6316232127838519,0.5992430613961313,-0.03238015138772066,0.23630069203700513,0.24079601935304562,0.004495327316040493,0.6815467712995903,0.6848363782475048,0.0032896069479144696,0.13885694159280532,0.10917291627778435,-0.02968402531502097
anytime,BR1,148,37,0,0.0,0.6933908045977011,0.7170498084291188,0.023659003831417724,0.21515344487750038,0.20595734418152706,-0.00919610069597332,0.6244246040218248,0.6025220073315009,-0.021902596690323906,0.11670205706741112,0.058402038930454356,-0.05830001813695676
anytime,CH1,128,32,0,0.0,0.7249809014514897,0.7420422714540362,0.017061370002546483,0.20599775815263302,0.2010983631337747,-0.004899395018858332,0.5981360030134371,0.5869222317520931,-0.01121377126134393,0.03850996922406708,0.05732254370251895,0.018812574478451867
anytime,CH2,84,21,0,0.0,0.66796875,0.6899038461538461,0.021935096153846145,0.21858899180226615,0.20750993674855311,-0.011079055053713038,0.6290551195967093,0.6037638496423436,-0.025291269954365703,0.12677609928223568,0.06940180989577274,-0.05737428938646294
anytime,CL,136,34,0,0.0,0.7307023265927376,0.7351598173515982,0.004457490758860594,0.21047030139491732,0.20824103891938167,-0.0022292624755356483,0.6037128164799237,0.600689036595706,-0.0030237798842176478,0.07402722817524013,0.07151275155182829,-0.0025144766234118376
anytime,D1,160,40,0,0.0,0.8034825870646766,0.8332530893917509,0.029770502327074344,0.18277062359682827,0.17592763604810488,-0.006842987548723395,0.5447367553343385,0.529345463816588,-0.015391291517750538,0.06706326975291808,0.10032899437151585,0.03326572461859777
anytime,D2,144,36,0,0.0,0.7434050324675325,0.718952922077922,-0.024452110389610482,0.19709346902334912,0.2059341292114029,0.008840660188053767,0.5762653328259747,0.5978895360928993,0.021624203266924602,0.04786955850023546,0.03425260525707413,-0.013616953243161325
anytime,DK1,72,18,0,0.0,0.7236201298701298,0.7467532467532468,0.023133116883117033,0.2106787441534166,0.20025436266397986,-0.010424381489436751,0.6066926155354303,0.5828646499074454,-0.02382796562798495,0.0739351350593935,0.10118241551544362,0.027247280456050113
anytime,E0,172,43,0,0.0,0.7626555429864252,0.7562217194570136,-0.006433823529411686,0.18953713753891294,0.19375864149597125,0.004221503957058309,0.5602500922501914,0.5714338443756151,0.011183752125423663,0.07814444754635697,0.06037846751648172,-0.01776598002987525
anytime,E1,256,64,0,0.0,0.7061538461538461,0.7008974358974359,-0.0052564102564102155,0.21111612595719945,0.20862028553572176,-0.0024958404214776853,0.6104585078615905,0.6058501888845665,-0.004608318977023962,0.0773079515681119,0.03102393974758951,-0.04628401182052239
anytime,E2,300,75,0,0.0,0.7469675925925927,0.7462499999999999,-0.0007175925925928528,0.19764362666881724,0.2008216910150602,0.003178064346242959,0.578224942301502,0.5872437201213198,0.009018777819817747,0.04733437835402692,0.0272433966702283,-0.020090981683798623
anytime,E3,328,82,0,0.0,0.7202123397435897,0.7105769230769231,-0.009635416666666563,0.19979160349314687,0.2021557413019732,0.0023641378088263276,0.5869624941382121,0.5904999332803558,0.0035374391421436613,0.03263719362181908,0.02207674327010433,-0.010560450351714747
anytime,EC,300,75,0,0.0,0.7202034883720929,0.7120276162790697,-0.008175872093023173,0.21001254759623672,0.21297347796300287,0.0029609303667661457,0.6106854244701275,0.6162882610193444,0.005602836549216894,0.04923125665158196,0.05155738127866617,0.00232612462708421
anytime,ECL,64,16,0,0.0,0.7449392712550608,0.7550607287449392,0.010121457489878471,0.2012169852523621,0.19479055411407403,-0.006426431138288058,0.5865294973789452,0.5762239912832652,-0.01030550609568004,0.11271879487174784,0.14779471107602177,0.03507591620427393
anytime,EL,136,34,0,0.0,0.6926377597109303,0.6761517615176151,-0.0164859981933152,0.21339489640517562,0.21875422087262747,0.005359324467451854,0.6173204254245372,0.629795680948958,0.012475255524420747,0.08803619020454412,0.09221928460473192,0.004183094400187798
anytime,F1,168,42,0,0.0,0.7244897959183673,0.7121693121693121,-0.012320483749055144,0.20114761241198909,0.20778983142243473,0.006642219010445649,0.5828661598044589,0.6011438897899021,0.018277729985443192,0.07402924624483671,0.08615690240984006,0.012127656165003345
anytime,F2,148,37,0,0.0,0.7069791666666666,0.6772916666666667,-0.029687499999999867,0.19973148134926533,0.20210658368785536,0.002375102338590035,0.5871622485726193,0.5901543842898149,0.0029921357171955876,0.06984150818115256,0.08051857239758056,0.010677064216428
anytime,G1,128,32,0,0.0,0.7890560875512996,0.7149110807113543,-0.0741450068399453,0.1758131985759576,0.19714445967622285,0.02133126110026526,0.5247091643249213,0.5771063989419833,0.05239723461706203,0.0676771717886602,0.07736811560108026,0.009690943812420055
anytime,I1,176,44,0,0.0,0.7462231462231461,0.7086625086625087,-0.03756063756063743,0.19341211729089486,0.20368262399910753,0.010270506708212668,0.5678309459540595,0.5937811591428559,0.025950213188796423,0.07223835524034579,0.05055845430298517,-0.02167990093736062
anytime,I2,208,52,0,0.0,0.7725289977198374,0.7410528402894815,-0.03147615743035592,0.18374793860195476,0.19537882157312636,0.011630882971171597,0.5450815491963816,0.574155970778338,0.02907442158195639,0.07132457680521165,0.031952076587055005,-0.03937250021815664
anytime,IE1,52,13,0,0.0,0.7414414414414414,0.7279279279279279,-0.013513513513513487,0.19401433928520215,0.19371684071016165,-0.0002974985750404946,0.5687871592431326,0.5655888194087799,-0.0031983398343526925,0.13060586425132575,0.1328261927981303,0.0022203285468045397
anytime,JP1,120,30,0,0.0,0.61996336996337,0.6120268620268621,-0.007936507936507908,0.22840908341790778,0.231633091542981,0.00322400812507323,0.6576264571082404,0.6587867589718797,0.001160301863639246,0.09369280297733537,0.11051554980807897,0.0168227468307436
anytime,MX1,140,35,0,0.0,0.7860331632653061,0.7431972789115646,-0.04283588435374153,0.1841550061545234,0.2011066098531852,0.016951603698661805,0.5458007674128065,0.5849968489095476,0.03919608149674114,0.07670364833891917,0.11445193687429071,0.037748288535371544
anytime,N1,156,39,0,0.0,0.7571692101291296,0.7504611772597686,-0.006708032869361058,0.19626693347094373,0.2025414246660112,0.006274491195067455,0.5844362924151261,0.5925802705344245,0.008143978119298456,0.06079792390154526,0.07155052387688587,0.010752599975340615
anytime,P1,168,42,0,0.0,0.770356140091621,0.7543963351559037,-0.01595980493571736,0.19071414143089654,0.19608382954941805,0.0053696881185215095,0.5677523465308115,0.5775542931400368,0.009801946609225287,0.07924301925893772,0.049796355569912874,-0.029446663689024842
anytime,PL1,148,37,0,0.0,0.6617141702041641,0.6648473822518699,0.00313321204770578,0.2133109564886476,0.20796828630525224,-0.005342670183395348,0.6181838406326174,0.6056936553939891,-0.012490185238628326,0.08111509409565308,0.09217720793133606,0.01106211383568298
anytime,RO1,176,44,0,0.0,0.7695646367521369,0.7771100427350427,0.007545405982905762,0.1914945717888197,0.19171627630455765,0.0002217045157379416,0.5662409170522011,0.5666235653023151,0.000382648250113915,0.06922033233629507,0.05459576120906496,-0.014624571127230111
anytime,SC0,140,35,0,0.0,0.7224702380952381,0.7578656462585034,0.03539540816326525,0.20775763496898741,0.19651627967267124,-0.011241355296316174,0.6344189878775339,0.5750370763315313,-0.059381911546002586,0.06064237810349517,0.08635554523006438,0.02571316712656921
anytime,SC1,88,22,0,0.0,0.757183908045977,0.7689655172413794,0.011781609195402387,0.18584767282772285,0.18641772363212789,0.0005700508044050312,0.5536983870775741,0.5531331043141474,-0.000565282763426711,0.10913947597839023,0.06935530518984406,-0.039784170788546167
anytime,SC2,100,25,0,0.0,0.69041157847128,0.6865671641791045,-0.0038444142921755242,0.19959241732897112,0.20036108216599346,0.0007686648370223426,0.5844616081413592,0.5844904419882703,2.883384691110269e-05,0.13493852907910464,0.09601775126166286,-0.038920777817441785
anytime,SC3,112,28,0,0.0,0.7140158021298524,0.7068017863277225,-0.007214015802129881,0.20548083839732248,0.205138515987411,-0.0003423224099114719,0.6004009233379292,0.5996227052198496,-0.0007782181180795433,0.10591325525461304,0.0955897967006702,-0.010323458553942844
anytime,SP1,176,44,0,0.0,0.744676549865229,0.7517520215633423,0.007075471698113289,0.1979126666183535,0.19694401907886494,-0.0009686475394885541,0.5788837004757089,0.5784623428734221,-0.0004213576022867871,0.08668405818563922,0.05385581433326731,-0.03282824385237191
anytime,SP2,196,49,0,0.0,0.7571037315987675,0.7939061965080452,0.03680246490927763,0.18632479449894035,0.18251598174922753,-0.0038088127497128144,0.5533212935503243,0.5447332575363687,-0.008588036013955636,0.07019129192932222,0.11219848149134724,0.042007189562025024
anytime,T1,148,37,0,0.0,0.7230870217554388,0.7460615153788448,0.022974493623405978,0.20890572754113626,0.2023775971201337,-0.006528130421002559,0.6072320451581913,0.5913333466925736,-0.015898698465617644,0.0722238245679856,0.06612511120809687,-0.006098713359888722
corners,AT1,216,18,0,0.0,0.6710424710424711,0.6555126555126556,-0.015529815529815472,0.2324254774705086,0.23568497475190603,0.0032594972813974332,0.6579015862034625,0.6663540710454924,0.008452484842029873,0.0616339131635643,0.058864482546000234,-0.0027694306175640657
corners,B1,492,41,0,0.0,0.7416509789156626,0.7432981927710842,0.0016472138554216587,0.19161205152974098,0.19244031331493788,0.0008282617851969043,0.56621586046944,0.5679456591175299,0.0017297986480899752,0.10051603513595676,0.10358167506171977,0.003065639925763003
corners,BR1,444,37,0,0.0,0.6756584448160535,0.6989757525083612,0.023317307692307665,0.22362921841732755,0.2177523877288687,-0.005876830688458845,0.6374762848031424,0.6282485605136072,-0.009227724289535222,0.045718452433586486,0.058496882462164536,0.01277843002857805
corners,CH1,432,36,0,0.0,0.7324404041293391,0.730690497677797,-0.0017499064515420493,0.2057343812660331,0.2064953883955699,0.0007610071295368059,0.5973684379001608,0.6001422194136358,0.00277378151347496,0.04428380978980471,0.036468366661628775,-0.007815443128175933
corners,CH2,300,25,0,0.0,0.7320355951056731,0.7324137931034482,0.00037819799777516483,0.21335181335959313,0.21094198522627838,-0.002409828133314751,0.6140031527316329,0.6096008324468449,-0.004402320284787931,0.06344180742367503,0.061794812053738,-0.0016469953699370307
corners,CL,600,50,0,0.0,0.7223897410222567,0.703051750034136,-0.019337990988120723,0.20905829655964642,0.21412149486801374,0.005063198308367323,0.6036294006949426,0.6142329428841473,0.010603542189204673,0.03170790966672203,0.034011475383849285,0.002303565717127254
corners,D1,576,48,0,0.0,0.7443940431359124,0.7487161930845602,0.004322149948647769,0.20498251192390407,0.20175479378764313,-0.0032277181362609375,0.5986682022713541,0.5886701363390137,-0.009998065932340428,0.04774103102227488,0.03141954526907081,-0.016321485753204072
corners,D2,540,45,0,0.0,0.6782224058350903,0.6791270157843752,0.0009046099492848736,0.2187232499540479,0.2192528430585049,0.0005295931044569935,0.6259528758663755,0.6273120193256345,0.0013591434592590268,0.028425593262726017,0.025708939418319008,-0.002716653844407009
corners,DK1,216,18,0,0.0,0.7246913580246914,0.7368084133516232,0.012117055326931747,0.2031324450981859,0.19999759836866726,-0.0031348467295186366,0.5910792024961641,0.5846529277467906,-0.006426274749373517,0.049321933853452134,0.06982984180896144,0.02050790795550931
corners,E0,612,51,0,0.0,0.7284510010537408,0.7234873273806223,-0.004963673673118563,0.20455432993659636,0.20653383944075707,0.0019795095041607036,0.595504951993746,0.5992507278609994,0.0037457758672534425,0.030510229332101683,0.030920676364078865,0.0004104470319771826
corners,E1,1044,87,0,0.0,0.7149284543923131,0.7059473605445832,-0.008981093847729937,0.20713910121584142,0.20939857161802886,0.0022594704021874357,0.601494633843192,0.606188999805315,0.004694365962123026,0.02494244303278243,0.024555447725071036,-0.00038699530771139565
corners,E2,1080,90,0,0.0,0.7085240967025564,0.6950031399212038,-0.013520956781352678,0.21307280503651493,0.21660875361284265,0.0035359485763277188,0.6137747695950738,0.6225528874407825,0.0087781178457087,0.015306133152890613,0.022557755358845414,0.007251622205954801
corners,E3,1128,94,0,0.0,0.6812166624333249,0.6718440436880875,-0.009372618745237427,0.22461206330042158,0.22787293457065455,0.0032608712702329734,0.6422966483407987,0.6488477499041859,0.006551101563387229,0.03964012808443691,0.04876500386341723,0.009124875778980315
corners,EC,984,82,0,0.0,0.700505402579296,0.7029844893691182,0.002479086789822116,0.21056472704171578,0.20924963704775462,-0.0013150899939611549,0.6092973915306181,0.6065401899452585,-0.0027572015853596366,0.03255239268867375,0.021861757781008878,-0.010690634907664871
corners,ECL,192,16,0,0.0,0.7294973544973544,0.7320326278659611,0.0025352733686067053,0.2172207334125229,0.21485026201336677,-0.0023704713991561377,0.6219120534572342,0.617474681724476,-0.004437371732758266,0.10884860775145769,0.10133616705220776,-0.007512440699249931
corners,EL,624,52,0,0.0,0.7297554845803446,0.701973925336405,-0.027781559243939546,0.20818269705787992,0.21682811041153163,0.00864541335365171,0.6026911110960633,0.6225270021321342,0.019835891036070863,0.03947210136284963,0.024413400298019437,-0.01505870106483019
corners,F1,540,45,0,0.0,0.7116673073754737,0.7381514635619748,0.02648415618650113,0.22031052981622276,0.21016009483750583,-0.010150434978716927,0.6307940411547303,0.6077600365734113,-0.02303400458131899,0.06705343068933331,0.0575399518350135,-0.009513478854319808
corners,F2,540,45,0,0.0,0.7542934266158019,0.7260332456514853,-0.028260180964316595,0.20657289516836608,0.21270804408296576,0.006135148914599681,0.600611375572937,0.6146285547901267,0.014017179217189701,0.05719549815731119,0.046356405660315333,-0.010839092496995856
corners,G1,480,40,0,0.0,0.7308878414606368,0.7208039109179794,-0.010083930542657438,0.22011829429920224,0.2219117204500042,0.0017934261508019689,0.6279421813168574,0.6330473647628044,0.005105183445947015,0.11354713204964052,0.10856760683635061,-0.004979525213289912
corners,I1,600,50,0,0.0,0.7095282557467432,0.7089835934373748,-0.0005446623093683378,0.22197272189676695,0.22184324842962308,-0.0001294734671438702,0.6336398543466547,0.6336616543241838,2.179997752904672e-05,0.07639342179440112,0.0812301251421469,0.004836703347745788
corners,I2,720,60,0,0.0,0.705500145016274,0.720207212142696,0.014707067126422002,0.21222219728413994,0.20748546915867516,-0.004736728125464773,0.6132946150406966,0.6022458250351413,-0.011048790005555253,0.0359082068089586,0.028946143322771074,-0.006962063486187525
corners,IE1,168,14,0,0.0,0.6733750533352296,0.6874555539752524,0.014080500640022753,0.22778852173342395,0.22478008735081273,-0.0030084343826112248,0.6489650300980032,0.6446897267327367,-0.004275303365266492,0.04544925726388612,0.05444077919881074,0.00899152193492462
corners,JP1,480,40,0,0.0,0.6925239192681053,0.6956229485299252,0.00309902926181993,0.22681204857459583,0.22685563841883466,4.358984423882828e-05,0.6467934031064332,0.6459035208693589,-0.0008898822370743131,0.09240810787138513,0.0844346379957018,-0.007973469875683328
corners,MX1,420,35,0,0.0,0.6784146979240093,0.6632711066645445,-0.01514359125946485,0.23421728735602834,0.2378923600060591,0.003675072650030753,0.662273687651526,0.6697399807202875,0.007466293068761454,0.0970912225176003,0.0928978090558451,-0.004193413461755197
corners,N1,564,47,0,0.0,0.7225827946958086,0.7197841007529818,-0.0027986939428267243,0.20140910703735734,0.20363855202148198,0.00222944498412464,0.589919189665113,0.5935238037305982,0.003604614065485179,0.04079308339191507,0.034533739077676914,-0.006259344314238156
corners,P1,540,45,0,0.0,0.7464258060947956,0.7369199712405288,-0.009505834854266815,0.2036386309288421,0.20569572461629368,0.0020570936874515777,0.5922249545041379,0.5967634832317411,0.004538528727603186,0.026180293035811167,0.04501938513263354,0.01883909209682237
corners,PL1,432,36,0,0.0,0.6971213600852273,0.7049449573863635,0.007823597301136243,0.21516472485065674,0.21311479369181174,-0.0020499311588449975,0.6188896399623798,0.6152380548991166,-0.0036515850632631297,0.031129742579972662,0.04009285995104482,0.008963117371072159
corners,RO1,612,51,0,0.0,0.7540600247858182,0.7292095479282289,-0.024850476857589343,0.20241129886833867,0.20874669533584023,0.006335396467501558,0.5904955431983219,0.6049247964336755,0.0144292532353536,0.04567777396805898,0.036784748762132516,-0.008893025205926462
corners,RU1,36,3,0,0.0,0.7395833333333333,0.7395833333333334,1.1102230246251565e-16,0.22792000936182624,0.22521206509641745,-0.002707944265408796,0.6432494704165486,0.6360040035348243,-0.007245466881724227,0.23642267888392393,0.23200668159893284,-0.004415997284991091
