family,market_code,n,fixtures,fallback_rows,fallback_rate,live_auc,challenger_auc,delta_auc,live_brier,challenger_brier,delta_brier,live_log_loss,challenger_log_loss,delta_log_loss,live_ece,challenger_ece,delta_ece,challenger_better_auc,challenger_better_brier,challenger_better_log_loss
anytime,a_1up,1347,1347,0,0.0,0.6033458963506936,0.6106420819891346,0.007296185638441033,0.24260282696634172,0.2420835049964531,-0.0005193219698886309,0.6791637748762793,0.6770930462514152,-0.0020707286248641266,0.02569424803179094,0.033885575160392103,0.008191327128601163,True,True,True
anytime,a_2up,1347,1347,0,0.0,0.6112023211379237,0.6210565423536906,0.009854221215766845,0.15247373842941003,0.15173514649809042,-0.0007385919313196154,0.48027757368170837,0.4779155491575569,-0.0023620245241514626,0.0345700058138114,0.011466054718871296,-0.023103951094940105,True,True,True
anytime,h_1up,1347,1347,0,0.0,0.6422011692027032,0.6310654117777132,-0.011135757424989956,0.22517323647904336,0.23039492668708816,0.005221690208044805,0.6438146937042563,0.6526955045817849,0.008880810877528678,0.0216329482791375,0.05050329358455181,0.028870345305414307,False,False,False
anytime,h_2up,1347,1347,0,0.0,0.6324377569666514,0.615634993147556,-0.0168027638190954,0.1837524428535799,0.18728261316598982,0.0035301703124099304,0.5520904932534003,0.5605217967400415,0.008431303486641228,0.015010504999958228,0.025157654536061187,0.010147149536102958,False,False,False
corners,ac25,1527,1527,0,0.0,0.6294411895706993,0.6205106297324152,-0.008930559838284058,0.193772023396575,0.19496700985539625,0.00119498645882124,0.5743155176431775,0.5767854719241942,0.0024699542810167063,0.03760287917348768,0.031714365111414185,-0.005888514062073497,False,False,False
corners,ac35,1527,1527,0,0.0,0.6419827778319429,0.6262874841567196,-0.015695293675223265,0.23428797416180402,0.23695760006944605,0.002669625907642026,0.660056161185924,0.6662899156219252,0.00623375443600116,0.04310484928952276,0.036634257987481614,-0.006470591302041147,False,False,False
corners,ac45,1527,1527,0,0.0,0.6284485974667353,0.6123216855269936,-0.016126911939741695,0.2308322713321612,0.23400809081229793,0.0031758194801367323,0.6539742760797126,0.6604492997014642,0.006475023621751563,0.04593234552317369,0.044408200302497564,-0.0015241452206761277,False,False,False
corners,ac55,1527,1527,0,0.0,0.6531270337791028,0.6346356517540361,-0.018491382025066616,0.1926151532947777,0.19621044985222894,0.003595296557451222,0.5710913027576404,0.5795203719979423,0.008429069240301845,0.033570215632231136,0.038713391618885436,0.0051431759866543,False,False,False
corners,c105,1527,1527,0,0.0,0.5730362157236105,0.5882184057079773,0.015182189984366823,0.22925100733159504,0.2287264221601143,-0.0005245851714807404,0.6508967693284664,0.649700996270419,-0.0011957730580474113,0.030417950819005384,0.03330240890685264,0.0028844580878472567,True,True,True
corners,c75,1527,1527,0,0.0,0.5851398038850407,0.5703316849289549,-0.014808118956085803,0.20096293907695365,0.2007828536797875,-0.00018008539716615757,0.591008748484214,0.5907145182845062,-0.0002942301997078678,0.008539047478963767,0.02303049625818291,0.014491448779219143,False,True,True
corners,c85,1527,1527,0,0.0,0.6003740262200943,0.5723648732355363,-0.028009152984557972,0.23263604132892132,0.23235406238767295,-0.0002819789412483731,0.6578006350387099,0.6572610958239663,-0.0005395392147435896,0.035425482165673976,0.014579502180105421,-0.020845979985568554,False,True,True
corners,c95,1527,1527,0,0.0,0.5753259787942216,0.5790412792094156,0.0037153004151939673,0.24785365514495725,0.24667234196709414,-0.0011813131778631025,0.6888432599218558,0.6864520738754245,-0.002391186046431293,0.03669700209015966,0.024251299504164985,-0.012445702585994672,True,True,True
corners,hc25,1527,1527,0,0.0,0.6266339869281045,0.6210553089160192,-0.005578678012085225,0.13392784325098675,0.13579963725763083,0.0018717940066440841,0.4348574093933347,0.439346062225742,0.004488652832407292,0.011881633820698892,0.01551802065780824,0.003636386837109349,False,False,False
corners,hc35,1527,1527,0,0.0,0.6523890819665468,0.635845375281995,-0.01654370668455174,0.19934723664976703,0.20205651116405812,0.0027092745142910934,0.5848307588309083,0.5914480875148702,0.0066173286839619205,0.03719993341426285,0.03609494104331245,-0.0011049923709504014,False,False,False
corners,hc45,1527,1527,0,0.0,0.6359208972845337,0.629126154594069,-0.006794742690464761,0.23451363888142998,0.2359404040642083,0.0014267651827783168,0.6611749092139625,0.6642694310167161,0.0030945218027536026,0.03227385201396333,0.029058827804958016,-0.0032150242090053134,False,False,False
