fixture_id,rest_delta,congestion_flag,motivation_score
326,,0,0.3
327,,0,0.8
328,,0,-0.4
329,,0,-0.4
330,,0,0.0
331,,0,-0.4
332,,0,0.0
333,,0,0.3
334,,0,-0.5
335,,0,0.0
336,,0,0.10000000000000003
337,,0,0.8
338,,0,-0.8
339,,0,0.4
340,,0,-0.4
341,,0,0.8
342,,0,0.0
343,,0,0.0
344,,0,-0.3
345,,0,-0.3
346,-1.0,0,0.3
347,2.0,0,0.4
348,-2.0,0,-0.10000000000000003
349,0.0,0,0.0
350,1.0,0,0.0
351,-3.0,0,0.0
352,0.0,0,-0.4
353,0.0,0,-0.8
354,1.0,0,-0.5
355,1.0,0,0.8
356,1.0,0,0.8
357,-1.0,0,0.0
358,-1.0,0,-0.8
359,-1.0,0,0.0
360,-3.0,0,-0.4
361,1.0,0,0.0
362,0.0,0,0.4
363,-1.0,0,-0.3
364,2.0,0,0.10000000000000003
365,1.0,0,0.5
366,-1.0,0,0.3
367,14.0,0,0.0
368,14.0,0,0.4
369,-1.0,0,0.4
370,-13.0,0,0.4
371,15.0,0,0.0
372,-14.0,0,0.0
373,14.0,0,-0.8
374,-14.0,0,0.0
375,-13.0,0,0.0
376,1.0,0,-0.3
377,14.0,0,0.3
378,-1.0,0,0.0
379,1.0,0,-0.3
380,-16.0,0,0.4
381,13.0,0,0.0
382,14.0,0,-0.4
383,-2.0,0,0.8
384,-13.0,0,-0.8
385,-13.0,0,-0.4
386,7.0,0,0.0
387,-7.0,0,0.0
388,7.0,0,0.3
389,8.0,0,0.4
390,0.0,0,0.0
391,7.0,0,0.4
392,0.0,0,0.4
393,-8.0,0,0.0
394,-9.0,0,0.0
395,-6.0,0,-0.8
396,-7.0,0,-0.3
397,1.0,0,0.0
398,0.0,0,0.0
399,0.0,0,0.4
400,7.0,0,-0.4
401,-7.0,0,0.8
402,7.0,0,-0.8
403,-7.0,0,-0.8
404,7.0,0,0.0
405,0.0,0,0.4
406,0.0,0,-0.4
407,-1.0,0,0.0
408,-1.0,0,0.3
409,1.0,0,0.3
410,-1.0,0,-0.3
411,1.0,0,0.0
412,1.0,0,0.0
413,0.0,0,0.0
414,1.0,0,0.8
415,-1.0,0,0.0
416,-1.0,0,-0.4
417,0.0,0,0.0
418,3.0,0,0.0
419,1.0,0,-0.3
420,1.0,0,-0.4
421,-1.0,0,-0.3
422,0.0,0,-0.5
423,-3.0,0,0.4
424,0.0,0,0.8
425,0.0,0,0.0
426,0.0,0,-0.3
427,-2.0,0,0.0
428,-7.0,0,0.0
429,-3.0,0,-0.8
430,7.0,0,-0.10000000000000003
431,-7.0,0,0.0
432,8.0,0,0.8
433,7.0,0,0.0
434,0.0,0,0.0
435,-7.0,0,0.5
436,0.0,0,0.10000000000000003
437,-7.0,0,0.3
438,0.0,0,0.0
439,-1.0,0,-0.4
440,-7.0,0,0.0
441,0.0,0,0.4
442,1.0,0,-0.8
443,8.0,0,-0.8
444,0.0,0,0.8
445,9.0,0,0.3
446,-1.0,0,-0.4
447,-1.0,0,0.8
448,0.0,0,0.0
449,1.0,0,0.0
450,0.0,0,0.0
451,-1.0,0,-0.3
452,0.0,0,0.0
453,0.0,0,0.4
454,1.0,0,0.10000000000000003
455,0.0,0,-0.5
456,0.0,0,-0.8
457,3.0,0,0.0
458,1.0,0,0.0
459,0.0,0,0.4
460,1.0,0,-0.8
461,0.0,0,0.4
462,-1.0,0,0.8
463,0.0,0,0.3
464,-1.0,0,-0.3
465,-2.0,0,-0.10000000000000003
466,0.0,1,0.0
467,4.0,1,0.0
468,1.0,1,-0.3
469,5.0,1,0.8
470,-4.0,1,-0.4
471,4.0,1,0.0
472,-4.0,1,-0.3
473,1.0,0,-0.4
474,1.0,0,0.0
475,-3.0,1,0.10000000000000003
476,2.0,1,0.3
477,-4.0,1,0.3
478,-4.0,1,0.4
479,-3.0,1,0.4
480,2.0,1,0.0
481,0.0,0,0.0
482,3.0,0,-0.8
483,3.0,1,-0.4
484,0.0,0,0.0
485,-5.0,0,0.3
486,0.0,0,-0.3
487,-1.0,0,0.0
488,1.0,0,0.4
489,0.0,0,-0.4
490,-3.0,0,0.4
491,0.0,0,-0.3
492,0.0,0,-0.8
493,1.0,0,0.0
494,3.0,0,0.5
495,-1.0,0,0.0
496,-1.0,0,0.3
497,0.0,0,-0.8
498,1.0,0,0.0
499,0.0,0,0.4
500,-1.0,0,0.8
501,-1.0,0,0.4
502,1.0,0,-0.10000000000000003
503,1.0,0,-0.5
504,1.0,0,0.0
505,0.0,0,0.0
506,0.0,0,0.3
507,0.0,0,0.4
508,0.0,0,0.4
509,0.0,0,0.0
510,0.0,0,0.0
511,1.0,0,-0.10000000000000003
512,-1.0,0,0.0
513,1.0,0,0.3
514,1.0,0,0.0
515,-1.0,0,-0.8
516,1.0,1,0.8
517,0.0,1,-0.4
518,0.0,1,0.0
519,1.0,1,-0.8
520,1.0,1,-0.3
521,1.0,0,0.0
522,-1.0,0,0.0
523,-1.0,0,0.0
524,-2.0,1,-0.3
525,0.0,0,0.5
526,4.0,1,0.4
527,-5.0,1,0.8
528,0.0,1,-0.3
529,-1.0,1,0.0
530,-1.0,1,-0.8
531,-4.0,1,-0.4
532,2.0,1,0.0
533,5.0,1,0.10000000000000003
534,-3.0,1,0.0
535,4.0,1,0.5
536,2.0,0,-0.5
537,1.0,0,-0.10000000000000003
538,-2.0,0,0.0
539,4.0,0,0.3
540,-1.0,0,-0.4
541,2.0,0,0.0
542,3.0,0,-0.8
543,-4.0,0,0.4
544,-3.0,0,0.8
545,-4.0,0,0.0
546,1.0,0,0.4
547,0.0,0,0.4
548,0.0,0,0.0
549,0.0,0,0.4
